Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0000008	195	75	64	174	85	69	98	117	91	89	119	85	99.8	102	98	0.949	-0.075	-0.305	0.760108820075615	0.943712274232601	0.0117	0.0444	0.0331	0.0331	TRUE	0.3081
FBgn0000014	8	2	5	21	3	2	4	3	7	11	4	2	5.27	5	6	1.305	0.384	0.401	0.68872110236351	NA	0.2307	0.6101	0.4644	0.4644	TRUE	2.2606
FBgn0000015	12	4	4	11	0	1	6	6	6	6	0	1	4.14	6	2	0.441	-1.182	-1.04	0.29839715509079	NA	0.3387	0.7738	0.6516	0.6516	TRUE	3.0794
FBgn0000017	285369	68062	49594	276128	36619	38709	143731	106368	70666	140808	51216	47445	93372.46	106922	79823	0.747	-0.422	-0.773	0.4397430439498	0.823971137743692	0.2146	0.0129	0.0809	0.2146	TRUE	0.7339
FBgn0000018	792	241	294	798	285	305	399	377	419	407	399	374	395.64	398	393	0.988	-0.017	-0.12	0.904586198285457	0.980353748441619	0	0.0208	0.0117	0.0117	TRUE	0.022
FBgn0000022	2	0	0	0	0	0	1	0	0	0	0	0	0.17	0	0	0.36	-1.475	-0.364	0.715863808620584	NA	0	18.7696	10	10	TRUE	0.4415
FBgn0000024	14	4	3	20	9	6	7	6	4	10	13	7	7.95	6	10	1.667	0.737	1.001	0.316865165082429	0.737090108485034	0	0.4088	0.2519	0.2519	TRUE	0.1363
FBgn0000028	25	7	4	41	8	4	13	11	6	21	11	5	11.04	10	12	1.285	0.362	0.506	0.612952588251973	0.896922737565356	0.2336	0.2981	0.2751	0.2751	TRUE	0.3109
FBgn0000032	1919	611	641	1983	674	759	967	955	913	1011	943	930	953.16	945	961	1.018	0.026	0.223	0.823340966786998	0.961799191003104	0	0.0161	0.0086	0.0086	TRUE	0.0263
FBgn0000036	29	4	11	24	5	5	15	6	16	12	7	6	10.32	12	8	0.708	-0.499	-0.728	0.466549492138255	0.835147444944733	0.0791	0.3181	0.2373	0.2373	TRUE	0.8436
