Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013687	1	0	0	7	0	1	1	0	0	4	0	1	0.89	0	2	3.557	1.831	0.604	0.545945504157409	NA	0	7.3662	5.3252	5.3252	TRUE	NA
FBtr0005088	10274	3376	3548	10798	3491	3754	5317	5058	4998	5514	4794	4657	5056.19	5124	4988	0.972	-0.042	-0.348	0.727840833411421	0.930876404101077	0.0011	0.0272	0.0101	0.0101	TRUE	NA
FBtr0006151	3	0	1	3	1	1	2	0	1	2	1	1	1.18	1	1	1.408	0.494	0.24	0.810632264210666	NA	0	5.5337	2.0868	2.0868	TRUE	NA
FBtr0070000	6	3	4	6	3	3	3	4	6	3	4	4	4.02	4	4	0.846	-0.241	-0.219	0.826380857196924	NA	0	1.6475	0.6149	0.6149	TRUE	NA
FBtr0070002	11	1	1	7	1	0	6	1	1	4	1	0	2.26	3	2	0.535	-0.902	-0.524	0.600285747402159	NA	0	2.9153	1.3462	1.3462	TRUE	NA
FBtr0070003	56	14	13	62	30	35	29	21	18	32	41	43	30.76	23	39	1.667	0.737	1.51	0.130938631012596	0.476698887815122	0	0.238	0.1344	0.1344	TRUE	NA
FBtr0070006	184	157	108	171	116	121	95	235	152	87	159	150	146.55	161	132	0.838	-0.255	-0.927	0.35390603708239	0.737886654322908	0.0262	0.0704	0.0474	0.0474	TRUE	NA
FBtr0070007	1120	352	402	1054	412	435	580	527	566	538	566	540	552.8	558	548	0.981	-0.028	-0.181	0.855982333777501	0.967807284799912	0	0.0377	0.0154	0.0154	TRUE	NA
FBtr0070008	379	130	151	434	174	211	196	195	213	222	239	262	220.98	201	241	1.192	0.253	1.268	0.204697380632119	0.59757698301642	0	0.0554	0.024	0.024	TRUE	NA
FBtr0070025	1807	1107	1135	1643	1149	1068	935	1658	1599	839	1578	1325	1322.34	1397	1247	0.893	-0.163	-1.108	0.267823046256501	0.66860090496844	0.0043	0.0308	0.0148	0.0148	TRUE	NA
FBtr0070026	673	271	304	681	350	382	348	406	428	348	481	474	414.12	394	434	1.091	0.125	0.749	0.454147969614683	0.811532801298335	0	0.0417	0.0176	0.0176	TRUE	NA
FBtr0070027	640	239	263	817	325	295	331	358	370	417	446	366	381.53	353	410	1.164	0.219	1.18	0.238107512861816	0.636004041908272	0.0056	0.043	0.0219	0.0219	TRUE	NA
FBtr0070028	124	27	40	226	22	26	64	40	56	115	30	32	56.47	53	59	0.945	-0.082	-0.177	0.859290488825961	0.968964907538076	0.1224	0.1414	0.1318	0.1318	TRUE	NA
FBtr0070029	4	3	2	3	1	2	2	4	3	2	1	2	2.46	3	2	0.601	-0.734	-0.525	0.599738180419847	NA	0	2.6764	0.9698	0.9698	TRUE	NA
FBtr0070032	8	5	2	8	6	6	4	7	3	4	8	7	5.7	5	6	1.302	0.381	0.386	0.69942394279297	NA	0	1.1699	0.5164	0.5164	TRUE	NA
FBtr0070034	1	1	0	2	1	1	1	1	0	1	1	1	0.94	1	1	1.859	0.894	0.397	0.691639897214328	NA	0	6.953	2.462	2.462	TRUE	NA
FBtr0070035	0	1	0	4	0	1	0	1	0	2	0	1	0.8	0	1	2.855	1.513	0.469	0.638837802603757	NA	0	8.2126	6.1732	6.1732	TRUE	NA
FBtr0070036	2163	839	1079	2259	1056	1290	1119	1257	1520	1154	1450	1600	1350.02	1299	1401	1.075	0.104	0.668	0.503870111883158	0.839669285746992	0.0068	0.0307	0.0167	0.0167	TRUE	NA
FBtr0070038	3378	967	923	4638	980	927	1748	1449	1300	2368	1346	1150	1560.18	1499	1621	1.04	0.056	0.29	0.771726985089393	0.943399110567939	0.0263	0.0301	0.0263	0.0263	TRUE	NA
FBtr0070040	13	28	9	49	23	33	7	42	13	25	32	41	26.48	21	33	1.865	0.899	1.364	0.172619259335905	0.549989395666005	0.2668	0.2722	0.2695	0.2695	TRUE	NA
FBtr0070041	1669	296	385	1545	323	374	864	443	542	789	444	464	590.99	616	566	0.918	-0.124	-0.734	0.463235450748197	0.817297728194869	0.0036	0.0369	0.0184	0.0184	TRUE	NA
FBtr0070042	691	112	20	427	43	161	358	168	28	218	59	200	171.73	185	159	1.019	0.027	0.041	0.967151968328662	0.991743402438167	0.6271	0.0639	0.294	0.294	TRUE	NA
