Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4679	4083	697	183	220	7585	7010	5751	356	251	273	3537.76	6782	293	0.043	-4.537	-27.668	1.70485643568847e-168	2.92399927284929e-164	0.0099	0.0277	0.0175	0.0175	TRUE	NA
FBtr0100457	3087	886	832	236	55	53	1598	1327	1172	121	76	66	726.45	1366	88	0.063	-3.983	-19.489	1.37432295044926e-84	3.92850215385921e-81	0.013	0.0349	0.0235	0.0235	TRUE	NA
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.24	1163	49	0.043	-4.55	-19.244	1.5763628493554e-82	3.37952490366182e-79	0.0132	0.0367	0.0296	0.0296	TRUE	NA
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.46	1224	53	0.042	-4.563	-19.049	6.74468381119019e-81	1.28531191161914e-77	0.0256	0.0361	0.0313	0.0313	TRUE	NA
FBtr0085094	101410	46896	59580	17936	10031	12131	52482	70258	83922	9159	13774	15049	40774.07	68887	12661	0.183	-2.452	-17.296	5.03863759006761e-67	7.85615211884086e-64	0.0071	0.0261	0.0144	0.0144	TRUE	NA
FBtr0074337	2035	1505	1138	148	85	70	1053	2255	1603	76	117	87	865	1637	93	0.059	-4.091	-16.898	4.66078976922295e-64	6.6614337776619e-61	0.0401	0.0334	0.0367	0.0367	TRUE	NA
FBtr0077645	5327	1953	2038	666	157	166	2757	2926	2871	340	216	206	1552.5	2851	254	0.087	-3.516	-16.534	2.09434898524242e-61	2.56572710327805e-58	0.0304	0.0301	0.0302	0.0302	TRUE	NA
FBtr0111030	6171	1226	985	666	132	170	3194	1837	1387	340	181	211	1191.68	2139	244	0.116	-3.107	-16.079	3.59027614463525e-58	4.10512174377594e-55	0.018	0.0314	0.0242	0.0242	TRUE	NA
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.51	615	50	0.081	-3.623	-16.042	6.50164735382438e-58	6.96935961034012e-55	0.0076	0.0455	0.0256	0.0256	TRUE	NA
FBtr0075753	7338	2709	2390	1327	534	573	3798	4059	3366	678	733	711	2224.05	3741	707	0.189	-2.405	-15.926	4.19154378643403e-57	4.22877455771354e-54	0.0061	0.0288	0.0156	0.0156	TRUE	NA
FBtr0089348	4028	1083	1041	791	192	201	2085	1623	1466	404	264	249	1015.05	1725	306	0.176	-2.51	-15.881	8.64633414638158e-57	8.23851538581058e-54	0.0044	0.0323	0.0158	0.0158	TRUE	NA
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.67	447	26	0.058	-4.103	-14.997	7.63978276328751e-51	6.89631127227074e-48	0	0.0535	0.034	0.034	TRUE	NA
FBtr0072393	1894	668	784	266	128	145	980	1001	1104	136	176	180	596.13	1028	164	0.157	-2.667	-14.881	4.35031617024078e-50	3.73061363178998e-47	0	0.0368	0.0195	0.0195	TRUE	NA
FBtr0302694	3011	1194	1189	564	253	314	1558	1789	1675	288	347	390	1007.8	1674	342	0.203	-2.303	-14.877	4.65604803057654e-50	3.80266094154372e-47	0.0032	0.0324	0.0155	0.0155	TRUE	NA
FBtr0310637	676	489	516	74	44	34	350	733	727	38	60	42	324.94	603	47	0.082	-3.61	-13.985	1.92355416497619e-44	1.31963509934027e-41	0.0254	0.046	0.0368	0.0368	TRUE	NA
FBtr0071835	712	282	257	51	25	28	368	422	362	26	34	35	208.01	384	32	0.081	-3.627	-13.901	6.24442114374592e-44	4.1191564244764e-41	0	0.0573	0.032	0.032	TRUE	NA
FBtr0113470	1730	560	550	123	76	61	895	839	775	63	104	76	458.64	836	81	0.095	-3.403	-13.886	7.67839159855762e-44	4.87748497432821e-41	0.0318	0.0401	0.0363	0.0363	TRUE	NA
FBtr0073421	11202	3237	3837	126	32	151	5797	4850	5405	64	44	187	2724.52	5351	98	0.018	-5.809	-13.127	2.30660165610079e-39	1.36415603461326e-36	0.3267	0.0283	0.1358	0.1358	TRUE	NA
FBtr0089484	1395	442	447	213	51	49	722	662	630	109	70	61	375.56	671	80	0.118	-3.088	-12.872	6.4641119230655e-38	3.69553278641655e-35	0	0.0433	0.0339	0.0339	TRUE	NA
FBtr0290019	6546	2254	2494	1907	616	815	3388	3377	3513	974	846	1011	2184.71	3426	944	0.276	-1.859	-12.832	1.09203236420662e-37	6.04175712209927e-35	0.0047	0.0289	0.0144	0.0144	TRUE	NA
FBtr0072956	13495	5763	5087	1100	962	905	6984	8634	7165	562	1321	1123	4298.11	7594	1002	0.125	-3.006	-12.468	1.11802399573113e-35	5.81067562144989e-33	0.0559	0.0274	0.0413	0.0413	TRUE	NA
FBtr0078144	10951	3766	2396	1164	483	449	5667	5642	3375	594	663	557	2749.84	4895	605	0.124	-3.01	-12.425	1.91420091897463e-35	9.38013141752399e-33	0.0548	0.0283	0.0413	0.0413	TRUE	NA
FBtr0332260	1986	872	973	561	304	315	1028	1306	1371	286	417	391	799.9	1235	365	0.294	-1.768	-12.021	2.75145671092797e-33	1.31083983469793e-30	6e-04	0.0341	0.0138	0.0138	TRUE	NA
FBtr0074916	835	373	574	112	42	38	432	559	809	57	58	47	326.91	600	54	0.093	-3.422	-11.65	2.28806950611678e-31	1.00622256665151e-28	0.0591	0.0459	0.0522	0.0522	TRUE	NA
FBtr0299968	2277	879	1073	492	294	283	1178	1317	1511	251	404	351	835.45	1335	335	0.247	-2.018	-11.435	2.80980110982556e-30	1.20477247086545e-27	0.0102	0.0337	0.0205	0.0205	TRUE	NA
FBtr0072087	1737	669	614	434	159	140	899	1002	865	222	218	174	563.28	922	205	0.222	-2.17	-11.344	7.95031515357692e-30	3.24656798092852e-27	0.0107	0.0375	0.0233	0.0233	TRUE	NA
FBtr0335024	11505	3317	2192	1655	561	471	5954	4969	3088	845	770	584	2701.81	4670	733	0.159	-2.655	-11.162	6.27688186291665e-29	2.34032175719312e-26	0.0518	0.0283	0.0399	0.0399	TRUE	NA
FBtr0083967	853	252	289	129	52	65	441	378	407	66	71	81	240.66	409	73	0.176	-2.507	-11.114	1.07612203255903e-28	3.9269295703021e-26	0.0062	0.053	0.0283	0.0283	TRUE	NA
FBtr0076459	537	186	188	51	25	31	278	279	265	26	34	38	153.37	274	33	0.117	-3.093	-11.038	2.49610512233265e-28	8.91889561523485e-26	0	0.0684	0.0394	0.0394	TRUE	NA
FBtr0308065	2958	770	925	935	214	264	1531	1154	1303	477	294	328	847.69	1329	366	0.273	-1.876	-11.012	3.33265791280255e-28	1.16649828290768e-25	0.0081	0.0336	0.0189	0.0189	TRUE	NA
FBtr0085156	1670	905	986	223	29	44	864	1356	1389	114	40	55	636.2	1203	70	0.055	-4.189	-10.705	9.63146996277054e-27	3.30378682662955e-24	0.1962	0.0362	0.102	0.102	TRUE	NA
