Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	4998	5278	31	34	85	4539	6863	6548	3016.56	50	5983	123.058	6.943	24.555	3.79554285042899e-133	3.25486777138538e-129	0.0935	0.0281	0.0466	0.0466	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	402	369	2443	3051	3264	1635.44	352	2919	8.336	3.059	21.759	5.6913960477418e-105	3.25377112049399e-101	0.0012	0.0299	0.0125	0.0125	TRUE	NA
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.11	46	1350	28.717	4.844	21.379	2.08945262173293e-101	8.95905047883538e-98	0.0133	0.0352	0.025	0.025	TRUE	NA
FBtr0342806	149	79	82	2611	2448	2073	77	118	116	1333	3362	2572	1262.91	104	2422	22.179	4.471	20.281	1.90630168239407e-91	6.53899603094813e-88	0.0285	0.0311	0.0297	0.0297	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1067	274	153	144	2813	1574	1324	1046.7	190	1904	9.962	3.316	19.424	4.87106158769038e-84	1.19347967557825e-80	0.0062	0.0321	0.0173	0.0173	TRUE	NA
FBtr0301964	145	145	135	1290	1126	1370	75	217	190	659	1546	1700	731.15	161	1302	8.234	3.042	17.842	3.34060627313857e-71	5.72947381905995e-68	0.003	0.0348	0.017	0.017	TRUE	NA
FBtr0342810	333	94	91	4643	1449	1093	172	141	128	2371	1990	1356	1026.32	147	1906	12.9	3.689	16.859	8.97013216990438e-64	1.18343643727715e-60	0.0283	0.0323	0.0302	0.0302	TRUE	NA
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.52	667	3442	5.176	2.372	14.298	2.23996657515692e-46	1.74625757865983e-43	0.0112	0.0291	0.0188	0.0188	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2109	498	397	341	2720	3138	2616	1618.41	412	2825	6.895	2.785	14.256	4.13029752370581e-46	3.0799449056121e-43	0.0224	0.0299	0.0259	0.0259	TRUE	NA
FBtr0301487	818	499	372	4779	3392	3782	423	748	524	2440	4658	4692	2247.47	565	3930	6.775	2.76	14.076	5.36137075257836e-45	3.83136957406131e-42	0.0246	0.0288	0.0266	0.0266	TRUE	NA
FBtr0305073	191	92	67	1608	583	696	99	138	94	821	801	863	469.36	110	828	7.57	2.92	13.715	8.26865839846106e-43	5.06484857828592e-40	0.0093	0.0398	0.0271	0.0271	TRUE	NA
FBtr0342814	677	213	248	2927	1631	1740	350	319	349	1495	2240	2159	1151.94	339	1965	5.666	2.502	12.715	4.90826628651244e-37	2.63067734624922e-34	0.0213	0.0316	0.0261	0.0261	TRUE	NA
FBtr0081619	132	39	60	945	389	516	68	58	85	483	534	640	311.35	70	552	7.757	2.955	12.465	1.16584232665635e-35	5.88098874837739e-33	0.0142	0.0469	0.032	0.032	TRUE	NA
FBtr0347567	196	93	160	3728	1161	1341	101	139	225	1904	1594	1664	937.94	155	1721	11.462	3.519	11.966	5.35027825883172e-33	2.48007087614116e-30	0.0907	0.0329	0.0584	0.0584	TRUE	NA
FBtr0076772	948	252	301	3104	1006	1183	491	378	424	1585	1381	1468	954.36	431	1478	3.435	1.78	11.81	3.46509408158689e-32	1.56394285771834e-29	0.0014	0.0327	0.0147	0.0147	TRUE	NA
FBtr0077644	1140	651	597	3773	1967	2209	590	975	841	1927	2701	2740	1629.04	802	2456	3.086	1.626	11.4	4.20362599913406e-30	1.75844852466215e-27	0.0026	0.0299	0.0138	0.0138	TRUE	NA
FBtr0472696	181	98	77	1067	587	912	94	147	108	545	806	1131	471.87	116	827	6.922	2.791	11.315	1.10638972744366e-29	4.4129512128805e-27	0.0375	0.0397	0.0387	0.0387	TRUE	NA
FBtr0332202	609	176	176	3058	697	748	315	264	248	1562	957	928	712.22	276	1149	4.098	2.035	11.304	1.26081141590186e-29	4.91458558957564e-27	0.0098	0.0351	0.0207	0.0207	TRUE	NA
FBtr0080263	221	50	45	1679	1225	1527	114	75	63	857	1682	1894	781.08	84	1478	16.901	4.079	11.198	4.17209960777798e-29	1.59012623051112e-26	0.1636	0.0343	0.0888	0.0888	TRUE	NA
FBtr0085155	990	343	433	2901	1315	1530	512	514	610	1481	1806	1898	1136.88	545	1728	3.149	1.655	10.595	3.13667220057902e-26	1.05484441004178e-23	0.0047	0.0316	0.0163	0.0163	TRUE	NA
FBtr0088136	74	21	49	1084	309	399	38	31	69	554	424	495	268.6	46	491	10.757	3.427	10.466	1.24369801205058e-25	4.02465369899614e-23	0.0879	0.0502	0.0641	0.0641	TRUE	NA
FBtr0081614	153	41	33	875	333	479	79	61	46	447	457	594	280.9	62	499	7.957	2.992	10.396	2.59662747562623e-25	8.24717737675288e-23	0.0504	0.0491	0.0497	0.0497	TRUE	NA
FBtr0089581	538	391	334	4771	1933	1812	278	586	470	2436	2654	2248	1445.53	445	2446	5.737	2.52	10.233	1.41337335821161e-24	4.32870829762274e-22	0.0547	0.0304	0.0423	0.0423	TRUE	NA
FBtr0072635	123	48	34	665	381	334	64	72	48	340	523	414	243.43	61	426	6.803	2.766	9.948	2.57352640949538e-23	7.48111041512802e-21	0.0375	0.0527	0.0458	0.0458	TRUE	NA
FBtr0346714	149	13	13	1173	454	513	77	19	18	599	623	636	328.95	38	619	19.199	4.263	9.893	4.46025345016996e-23	1.23383559554621e-20	0.2143	0.0457	0.1143	0.1143	TRUE	NA
FBtr0302291	7097	2315	2578	17634	7581	7047	3673	3468	3631	9005	10410	8742	6488.21	3591	9386	2.612	1.385	9.76	1.67290877007421e-22	4.48313411180357e-20	0.0076	0.0269	0.0143	0.0143	TRUE	NA
FBtr0077247	887	203	220	2401	619	756	459	304	310	1226	850	938	681.16	358	1005	2.822	1.497	9.602	7.86359437335769e-22	1.98336039849203e-19	0.0018	0.0355	0.0153	0.0153	TRUE	NA
FBtr0301884	751	510	439	2290	1357	1599	389	764	618	1169	1863	1984	1131.25	590	1672	2.858	1.515	9.458	3.13218783662674e-21	7.3589251487651e-19	0.0062	0.0317	0.0173	0.0173	TRUE	NA
FBtr0076454	1477	468	652	4493	1668	2060	764	701	918	2294	2290	2556	1587.37	794	2380	2.995	1.582	9.296	1.45770073340411e-20	3.33347003714851e-18	0.0127	0.03	0.02	0.02	TRUE	NA
FBtr0071849	196	91	123	839	390	442	101	136	173	428	536	548	320.55	137	504	3.739	1.903	9.28	1.69358802020543e-20	3.77230235513549e-18	0.005	0.0463	0.0253	0.0253	TRUE	NA
FBtr0301143	300	145	190	1244	536	686	155	217	268	635	736	851	477.07	213	741	3.536	1.822	9.199	3.60042860230331e-20	7.91678858437232e-18	0.0123	0.0396	0.025	0.025	TRUE	NA
FBtr0344560	129	81	99	452	394	534	67	121	139	231	541	662	293.64	109	478	4.179	2.063	9.098	9.24310759593338e-20	2.00669035921333e-17	0.0161	0.0481	0.031	0.031	TRUE	NA
FBtr0075699	733	89	205	3655	1245	1463	379	133	289	1866	1710	1815	1032.06	267	1797	6.967	2.801	8.983	2.63318237206731e-19	5.5075257150398e-17	0.1155	0.0322	0.0674	0.0674	TRUE	NA
FBtr0301850	170	60	36	1089	263	263	88	90	51	556	361	326	245.35	76	414	5.387	2.43	8.832	1.03146510096094e-18	1.98771437602034e-16	0.0347	0.0525	0.0454	0.0454	TRUE	NA
FBtr0078841	28	10	12	309	92	104	14	15	17	158	126	129	76.59	15	138	9.092	3.185	8.652	5.06370173313898e-18	9.1418472026386e-16	0.0066	0.1111	0.0588	0.0588	TRUE	NA
FBtr0332403	1139	938	1179	2542	2701	3018	589	1405	1661	1298	3709	3744	2067.73	1218	2917	2.352	1.234	8.538	1.36566190503883e-17	2.230711174602e-15	0.0046	0.0291	0.0144	0.0144	TRUE	NA
FBtr0077236	353	100	83	1070	360	407	183	150	117	546	494	505	332.51	150	515	3.45	1.787	8.513	1.68853507025718e-17	2.73208160282838e-15	0.0063	0.0455	0.0269	0.0269	TRUE	NA
FBtr0347200	644	135	153	1700	428	555	333	202	216	868	588	689	482.56	250	715	2.882	1.527	8.399	4.50246403880021e-17	7.08456520453783e-15	0.0063	0.0394	0.0206	0.0206	TRUE	NA
