Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0003360	14882	3935	4763	1492	576	640	7496	6150	6787	761	806	784	3797.15	6811	784	0.115	-3.122	-25.946	2.0136603508901e-148	1.79356727453781e-144	0.0055	0.0137	0.0097	0.0097	TRUE	0.0668
FBgn0039155	2490	751	893	81	37	54	1254	1174	1272	41	52	66	643.25	1233	53	0.042	-4.59	-24.518	9.57722199364674e-133	4.26521581487058e-129	0.0051	0.0177	0.0155	0.0155	TRUE	0.5487
FBgn0029167	10401	3816	3822	2347	937	924	5239	5964	5446	1197	1311	1133	3381.36	5550	1214	0.219	-2.194	-18.864	2.25259172623373e-79	5.01595862639096e-76	0.0043	0.0138	0.0092	0.0092	TRUE	0.0561
FBgn0035085	1895	671	787	314	133	150	954	1049	1121	160	186	184	609.08	1041	177	0.169	-2.569	-17.237	1.39463613277498e-66	2.48440480692536e-63	0.0055	0.018	0.0126	0.0126	TRUE	0.0917
FBgn0039827	767	320	331	46	14	28	386	500	472	23	20	34	239.23	453	26	0.057	-4.143	-16.893	5.03754752240406e-64	7.47823929700882e-61	0.0179	0.026	0.0237	0.0237	TRUE	0.3679
FBgn0029896	1627	531	501	302	100	116	819	830	714	154	140	142	466.54	788	145	0.185	-2.431	-15.88	8.78401094617803e-57	1.11770264996582e-53	0	0.0196	0.0128	0.0128	TRUE	0.0764
FBgn0034736	712	282	257	51	25	28	359	441	366	26	35	34	210.14	389	32	0.079	-3.657	-15.703	1.4316408752888e-55	1.59395315952467e-52	0	0.0278	0.0222	0.0222	TRUE	0.3169
FBgn0034897	2877	964	982	725	274	263	1449	1507	1399	370	383	322	905.02	1452	358	0.247	-2.016	-15.688	1.81326542644865e-55	1.79452835037535e-52	8e-04	0.0163	0.0101	0.0101	TRUE	0.0814
FBgn0023479	9584	3082	2984	3053	1145	1175	4827	4817	4252	1557	1601	1440	3082.34	4632	1533	0.331	-1.596	-14.032	9.89386757985793e-45	8.01133441216314e-42	0.0033	0.0139	0.0089	0.0089	TRUE	0.0622
FBgn0038832	853	252	289	129	52	65	430	394	412	66	73	80	242.24	412	73	0.174	-2.522	-13.703	9.77980595722825e-43	7.25906097175267e-40	0	0.0258	0.0163	0.0163	TRUE	0.097
FBgn0036821	1441	498	457	382	112	147	726	778	651	195	157	180	447.81	718	177	0.249	-2.007	-12.672	8.45595134958255e-37	5.79362759005629e-34	0.0061	0.0199	0.0145	0.0145	TRUE	0.098
FBgn0264753	351	131	146	42	11	19	177	205	208	21	15	23	108.27	197	20	0.104	-3.261	-11.783	4.74924997460022e-32	2.82010463491761e-29	0	0.0419	0.0293	0.0293	TRUE	0.129
FBgn0026562	102439	47109	59862	18039	10108	12172	51595	73623	85297	9199	14137	14919	41461.64	70172	12752	0.182	-2.46	-11.758	6.45069503472568e-32	3.387656140225e-29	0.0593	0.0129	0.0315	0.0315	TRUE	0.1803
FBgn0027279	8234	2595	2639	3505	1242	1379	4147	4056	3760	1787	1737	1690	2862.94	3988	1738	0.436	-1.198	-11.404	4.01605703324183e-30	1.88268526289921e-27	0.0015	0.0139	0.0075	0.0075	TRUE	0.0301
FBgn0040091	2714	899	1211	1002	388	416	1367	1405	1726	511	543	510	1010.16	1499	521	0.348	-1.524	-10.962	5.82722785807659e-28	2.47157707294706e-25	0.0085	0.016	0.0126	0.0126	TRUE	0.2071
FBgn0037754	871	233	223	170	54	61	439	364	318	87	76	75	226.26	374	79	0.212	-2.236	-10.909	1.04361797126691e-27	4.2252296682156e-25	0.0164	0.0268	0.0226	0.0226	TRUE	0.1466
FBgn0000406	787	261	385	167	60	97	396	408	549	85	84	119	273.47	451	96	0.212	-2.238	-10.5	8.62982216156922e-26	3.07463303972388e-23	0.0295	0.0244	0.0262	0.0262	TRUE	0.402
FBgn0259715	2277	879	1073	492	294	283	1147	1374	1529	251	411	347	843.07	1350	336	0.247	-2.015	-10.442	1.59105262548774e-25	5.45057912893051e-23	0.0361	0.0166	0.0249	0.0249	TRUE	0.3731
FBgn0030041	288	93	117	41	10	15	145	145	167	21	14	18	85.06	152	18	0.121	-3.046	-10.26	1.06841907061358e-24	3.52459580072413e-22	0	0.0499	0.0342	0.0342	TRUE	0.2141
FBgn0034010	1604	488	610	634	205	226	808	763	869	323	287	277	554.46	813	296	0.366	-1.452	-10.248	1.20688344445426e-24	3.83918244276931e-22	0.0035	0.0185	0.0121	0.0121	TRUE	0.0875
FBgn0039419	4979	1572	1589	2245	743	850	2508	2457	2264	1145	1039	1042	1742.41	2410	1075	0.447	-1.162	-10.176	2.54175223814078e-24	7.80668523624825e-22	0.0025	0.0147	0.0087	0.0087	TRUE	0.0406
FBgn0040099	3002	785	942	952	221	268	1512	1227	1342	485	309	328	867.35	1360	374	0.277	-1.851	-9.926	3.21136621671287e-23	9.53454629742051e-21	0.0364	0.0165	0.0233	0.0233	TRUE	0.8287
FBgn0036985	6756	1661	1732	1965	769	825	3403	2596	2468	1002	1076	1011	1925.88	2822	1030	0.364	-1.458	-9.822	9.02119232272819e-23	2.51099250057937e-20	0.0159	0.0145	0.0152	0.0152	TRUE	0.3999
FBgn0024288	202	73	73	7	6	4	102	114	104	4	8	5	56.12	107	6	0.047	-4.397	-9.783	1.3375526163379e-22	3.61017610718839e-20	0	0.069	0.0507	0.0507	TRUE	0.6253
FBgn0033913	13209	4465	4508	5371	2328	2614	6653	6978	6423	2739	3256	3204	4875.52	6685	3066	0.458	-1.126	-9.739	2.05280325927532e-22	5.22409103724721e-20	0.0048	0.0135	0.0094	0.0094	TRUE	0.1085
