"","ID"
"1","FBtr0072393"
"2","FBtr0087390"
"3","FBtr0079708"
"4","FBtr0336736"
"5","FBtr0344277"
"6","FBtr0088550"
"7","FBtr0082183"
"8","FBtr0087308"
"9","FBtr0087307"
"10","FBtr0071835"
"11","FBtr0306917"
"12","FBtr0070393"
"13","FBtr0082790"
"14","FBtr0073378"
"15","FBtr0089963"
"16","FBtr0087008"
"17","FBtr0339643"
"18","FBtr0300190"
"19","FBtr0071935"
"20","FBtr0305668"
"21","FBtr0080514"
"22","FBtr0345114"
"23","FBtr0075389"
"24","FBtr0080838"
"25","FBtr0085755"
"26","FBtr0071105"
"27","FBtr0304933"
"28","FBtr0112851"
"29","FBtr0333662"
"30","FBtr0332851"
"31","FBtr0100457"
"32","FBtr0089484"
"33","FBtr0310647"
"34","FBtr0087621"
"35","FBtr0301450"
"36","FBtr0112532"
"37","FBtr0303756"
"38","FBtr0070457"
"39","FBtr0306255"
"40","FBtr0075753"
"41","FBtr0332148"
"42","FBtr0075927"
"43","FBtr0111030"
"44","FBtr0302692"
"45","FBtr0111029"
"46","FBtr0302694"
"47","FBtr0087257"
"48","FBtr0302645"
"49","FBtr0345896"
"50","FBtr0085094"
"51","FBtr0082139"
"52","FBtr0303787"
"53","FBtr0310055"
"54","FBtr0300612"
"55","FBtr0301289"
"56","FBtr0307520"
"57","FBtr0336616"
"58","FBtr0308065"
"59","FBtr0301403"
"60","FBtr0100595"
"61","FBtr0335178"
"62","FBtr0087295"
"63","FBtr0306107"
"64","FBtr0330159"
"65","FBtr0339081"
"66","FBtr0087533"
"67","FBtr0084659"
"68","FBtr0330730"
"69","FBtr0079491"
"70","FBtr0087789"
"71","FBtr0290019"
"72","FBtr0330269"
"73","FBtr0332529"
"74","FBtr0330118"
"75","FBtr0301504"
"76","FBtr0079077"
"77","FBtr0300599"
"78","FBtr0343424"
"79","FBtr0302615"
"80","FBtr0088996"
"81","FBtr0077645"
"82","FBtr0335024"
"83","FBtr0081352"
"84","FBtr0081354"
"85","FBtr0079042"
"86","FBtr0072956"
"87","FBtr0304995"
"88","FBtr0304993"
"89","FBtr0078144"
"90","FBtr0071934"
"91","FBtr0334867"
"92","FBtr0345142"
"93","FBtr0078937"
"94","FBtr0083967"
"95","FBtr0070985"
"96","FBtr0078083"
"97","FBtr0074276"
"98","FBtr0342815"
"99","FBtr0075341"
"100","FBtr0085209"
"101","FBtr0339612"
"102","FBtr0329957"
"103","FBtr0329955"
"104","FBtr0075811"
"105","FBtr0334849"
"106","FBtr0301847"
"107","FBtr0090022"
"108","FBtr0073339"
"109","FBtr0332102"
"110","FBtr0334328"
"111","FBtr0339189"
"112","FBtr0333595"
"113","FBtr0290076"
"114","FBtr0299968"
"115","FBtr0079253"
"116","FBtr0340709"
"117","FBtr0085156"
"118","FBtr0330186"
"119","FBtr0075793"
"120","FBtr0070965"
"121","FBtr0336904"
"122","FBtr0075204"
"123","FBtr0307374"
"124","FBtr0088774"
"125","FBtr0306616"
"126","FBtr0289981"
"127","FBtr0303912"
"128","FBtr0089649"
"129","FBtr0071240"
"130","FBtr0080565"
"131","FBtr0332205"
"132","FBtr0303387"
"133","FBtr0332405"
"134","FBtr0303384"
"135","FBtr0332046"
"136","FBtr0307306"
"137","FBtr0310653"
"138","FBtr0077234"
"139","FBtr0332930"
"140","FBtr0290025"
"141","FBtr0076792"
"142","FBtr0303106"
"143","FBtr0290077"
"144","FBtr0085735"
"145","FBtr0087530"
"146","FBtr0077409"
"147","FBtr0071690"
"148","FBtr0302713"
"149","FBtr0332500"
"150","FBtr0072561"
"151","FBtr0087115"
"152","FBtr0086272"
"153","FBtr0073269"
"154","FBtr0344179"
"155","FBtr0084549"
"156","FBtr0110971"
"157","FBtr0076459"
"158","FBtr0079632"
"159","FBtr0332057"
"160","FBtr0303857"
"161","FBtr0086670"
"162","FBtr0089343"
"163","FBtr0089360"
"164","FBtr0089361"
"165","FBtr0089348"
"166","FBtr0089359"
"167","FBtr0072864"
"168","FBtr0085423"
"169","FBtr0077524"
"170","FBtr0078430"
"171","FBtr0080306"
"172","FBtr0075077"
"173","FBtr0302322"
"174","FBtr0329997"
"175","FBtr0086255"
"176","FBtr0309828"
"177","FBtr0078191"
"178","FBtr0100462"
"179","FBtr0302513"
"180","FBtr0112577"
"181","FBtr0070809"
"182","FBtr0076541"
"183","FBtr0307057"
"184","FBtr0332503"
"185","FBtr0303749"
"186","FBtr0302896"
"187","FBtr0081484"
"188","FBtr0329895"
"189","FBtr0334282"
"190","FBtr0332042"
"191","FBtr0073423"
"192","FBtr0330722"
"193","FBtr0308631"
"194","FBtr0335013"
"195","FBtr0332260"
"196","FBtr0343358"
"197","FBtr0299525"
"198","FBtr0299526"
"199","FBtr0076525"
"200","FBtr0344980"
"201","FBtr0084112"
"202","FBtr0307289"
