"","ID"
"1","FBtr0073120"
"2","FBtr0337020"
"3","FBtr0300272"
"4","FBtr0087859"
"5","FBtr0332167"
"6","FBtr0075699"
"7","FBtr0302977"
"8","FBtr0080839"
"9","FBtr0340135"
"10","FBtr0073359"
"11","FBtr0077920"
"12","FBtr0072635"
"13","FBtr0075199"
"14","FBtr0078841"
"15","FBtr0075942"
"16","FBtr0087617"
"17","FBtr0077008"
"18","FBtr0306254"
"19","FBtr0302291"
"20","FBtr0305917"
"21","FBtr0310643"
"22","FBtr0081614"
"23","FBtr0301838"
"24","FBtr0301837"
"25","FBtr0087258"
"26","FBtr0076427"
"27","FBtr0346711"
"28","FBtr0308232"
"29","FBtr0335423"
"30","FBtr0335180"
"31","FBtr0088663"
"32","FBtr0071537"
"33","FBtr0081635"
"34","FBtr0332963"
"35","FBtr0303709"
"36","FBtr0076454"
"37","FBtr0333071"
"38","FBtr0075541"
"39","FBtr0083122"
"40","FBtr0331507"
"41","FBtr0302833"
"42","FBtr0088266"
"43","FBtr0308834"
"44","FBtr0088659"
"45","FBtr0079199"
"46","FBtr0331662"
"47","FBtr0073426"
"48","FBtr0071849"
"49","FBtr0077644"
"50","FBtr0089581"
"51","FBtr0301884"
"52","FBtr0072957"
"53","FBtr0299837"
"54","FBtr0086774"
"55","FBtr0072642"
"56","FBtr0088136"
"57","FBtr0343571"
"58","FBtr0342810"
"59","FBtr0340405"
"60","FBtr0076772"
"61","FBtr0305063"
"62","FBtr0301850"
"63","FBtr0090014"
"64","FBtr0082760"
"65","FBtr0347567"
"66","FBtr0076808"
"67","FBtr0332911"
"68","FBtr0302188"
"69","FBtr0304802"
"70","FBtr0085155"
"71","FBtr0342607"
"72","FBtr0113380"
"73","FBtr0112888"
"74","FBtr0100575"
"75","FBtr0077247"
"76","FBtr0332202"
"77","FBtr0301708"
"78","FBtr0345070"
"79","FBtr0336676"
"80","FBtr0087493"
"81","FBtr0305073"
"82","FBtr0083765"
"83","FBtr0290078"
"84","FBtr0331509"
"85","FBtr0332478"
"86","FBtr0080892"
"87","FBtr0085987"
"88","FBtr0071004"
"89","FBtr0075966"
"90","FBtr0333073"
"91","FBtr0079062"
"92","FBtr0081619"
"93","FBtr0340212"
"94","FBtr0112994"
"95","FBtr0334053"
"96","FBtr0113323"
"97","FBtr0073779"
"98","FBtr0082452"
"99","FBtr0300017"
"100","FBtr0089349"
"101","FBtr0085899"
"102","FBtr0087089"
"103","FBtr0088506"
"104","FBtr0299920"
"105","FBtr0080592"
"106","FBtr0306087"
"107","FBtr0076668"
"108","FBtr0300889"
"109","FBtr0305679"
"110","FBtr0073422"
"111","FBtr0308621"
"112","FBtr0072506"
"113","FBtr0301143"
"114","FBtr0112808"
"115","FBtr0347200"
"116","FBtr0301501"
"117","FBtr0339741"
