Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0013687	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0005088	8128	2288	2347	8387	1874	2499	5040	3379	3361	5616	2734	3000	3855	3927	3783	0.964	-0.054	0.939777771198336	0.999980808067219	0.3612	0.444
FBtr0006151	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070000	11	0	7	0	3	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070002	2	0	0	4	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070003	35	17	13	29	26	36	22	25	19	19	38	43	27.67	22	33	1.53	0.614	0.583263130888947	0.999980808067219	0.8595	1.3397
FBtr0070006	15	186	12	158	10	12	9	275	17	106	15	14	72.66	100	45	0.451	-1.148	0.406411959863659	0.999980808067219	1.3321	1.1187
FBtr0070007	768	337	377	692	359	422	476	498	540	463	524	507	501.26	505	498	0.987	-0.019	0.976246579404441	0.999980808067219	0.2957	0.3707
FBtr0070008	297	120	143	352	162	202	184	177	205	236	236	243	213.46	189	238	1.262	0.336	0.658651001893314	0.999980808067219	0.4105	0.614
FBtr0070025	1774	1088	922	1653	872	956	1100	1607	1320	1107	1272	1148	1259	1342	1176	0.876	-0.191	0.736517382293111	0.999980808067219	0.2315	0.3326
FBtr0070026	490	264	278	483	306	368	304	390	398	323	446	442	383.92	364	404	1.11	0.15	0.82608044595752	0.999980808067219	0.3344	0.4243
FBtr0070027	264	240	247	458	230	285	164	354	354	307	336	342	309.38	291	328	1.13	0.177	0.805073360107946	0.999980808067219	0.3653	0.483
FBtr0070028	60	22	26	191	14	11	37	32	37	128	20	13	44.74	35	54	1.516	0.6	0.624518411648049	0.999980808067219	1.059	1.2803
FBtr0070029	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070032	6	2	2	7	4	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070034	0	0	0	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070035	0	1	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070036	1522	809	977	1536	916	1215	944	1195	1399	1028	1337	1459	1226.89	1179	1275	1.081	0.112	0.842758233080994	0.999980808067219	0.2301	0.3313
FBtr0070038	2841	942	875	3749	923	894	1761	1391	1253	2510	1347	1073	1556.01	1468	1643	1.119	0.162	0.790720281556019	0.999980808067219	0.2693	0.346
FBtr0070040	0	25	6	0	11	34	0	37	9	0	16	41	17.06	15	19	1.254	0.326	0.850314812145801	0.999980808067219	2.0995	1.3277
FBtr0070041	430	290	356	478	300	360	267	428	510	320	438	432	399.12	402	397	0.988	-0.017	0.980209540700822	0.999980808067219	0.344	0.4152
FBtr0070042	633	79	29	524	55	125	392	117	42	351	80	150	188.64	184	194	1.054	0.076	0.936770083110941	0.999980808067219	0.6619	0.6647
FBtr0070043	85	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070044	338	286	357	665	338	281	210	422	511	445	493	337	403.17	381	425	1.117	0.16	0.821397826846223	0.999980808067219	0.357	0.4129
FBtr0070045	156	42	60	428	63	63	97	62	86	287	92	76	116.47	82	152	1.856	0.893	0.366292018994386	0.999980808067219	0.6845	0.892
FBtr0070046	365	109	112	554	86	108	226	161	160	371	125	130	195.63	182	209	1.144	0.194	0.813730989905328	0.999980808067219	0.485	0.6496
FBtr0070050	1	0	0	8	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
