Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0074337	5421	1308	893	0	0	0	3361	1931	1279	0	0	0	1095.27	2190	0	0	-14.097	3.17553074898834e-28	4.99447476200887e-24	0.299	0.3271
FBtr0078144	8921	4634	3303	0	0	0	5531	6843	4731	0	0	0	2850.79	5702	0	0	-15.477	6.17841653453602e-27	3.23913784183942e-23	0.3757	0.4059
FBtr0342811	5861	5721	5158	0	0	0	3634	8448	7387	0	0	0	3244.9	6490	0	0	-15.664	8.60969068037347e-25	3.38533037552285e-21	0.4248	0.4216
FBtr0113470	1125	711	626	0	0	0	698	1050	897	0	0	0	440.67	882	0	0	-12.784	3.49618142881131e-19	9.16465691872405e-16	0.4081	0.394
FBtr0302615	1269	345	574	0	0	0	787	509	822	0	0	0	353.06	706	0	0	-12.464	6.86451862944146e-18	1.54235927148365e-14	0.426	0.4454
FBtr0310637	531	644	601	0	0	0	329	951	861	0	0	0	356.83	714	0	0	-12.479	8.93192853784375e-17	1.75601715054008e-13	0.4657	0.4428
FBtr0336616	986	405	259	0	0	0	611	598	371	0	0	0	263.39	527	0	0	-12.042	2.08735431391703e-15	3.28299086492871e-12	0.4873	0.5352
FBtr0342815	745	392	149	0	0	0	462	579	213	0	0	0	209.03	418	0	0	-11.708	3.02154815927374e-13	4.32026449536886e-10	0.5683	0.6225
FBtr0344981	2331	350	74	0	0	0	1445	517	106	0	0	0	344.68	689	0	0	-12.43	3.97666077576865e-13	5.21207672344077e-10	0.6453	0.4516
FBtr0076459	605	258	236	0	0	0	375	381	338	0	0	0	182.35	365	0	0	-11.511	8.38676448699391e-13	9.42193084653145e-10	0.5762	0.6803
FBtr0073421	3604	3160	3575	135	30	119	2235	4666	5120	90	44	143	2049.68	4007	92	0.023	-5.435	3.44037862108937e-11	3.18879790861656e-08	0.3296	0.3703
FBtr0343497	96	351	379	0	0	0	60	518	543	0	0	0	186.77	374	0	0	-11.544	1.0916951707662e-10	9.03693770832148e-08	0.749	0.6707
FBtr0084549	1859	712	814	58	32	52	1153	1051	1166	39	47	62	586.3	1123	49	0.044	-4.509	3.12047350266913e-10	2.453940362499e-07	0.2714	0.3491
FBtr0100457	1962	665	558	80	14	12	1216	982	799	54	20	14	514.34	999	29	0.03	-5.057	1.35118489015202e-09	9.65974361468679e-07	0.3497	0.3666
FBtr0302693	70	797	80	0	0	0	43	1177	115	0	0	0	222.48	445	0	0	-11.797	1.53453540582323e-09	1.04935534186033e-06	0.9166	0.5983
FBtr0290025	412	93	203	0	0	0	255	137	291	0	0	0	113.92	228	0	0.001	-10.833	3.36737211740705e-09	2.11848114650312e-06	0.8248	0.9039
FBtr0308562	820	69	189	0	1	0	508	102	271	0	1	0	147.08	294	0	0.002	-9.211	3.23372410874161e-09	2.11848114650312e-06	0.7278	0.7782
FBtr0300190	1837	698	643	28	0	27	1139	1031	921	19	0	32	523.63	1030	17	0.017	-5.891	6.98305315349575e-09	4.06775777771041e-06	0.4796	0.3639
FBtr0335024	9378	3241	2115	314	262	101	5815	4786	3029	210	382	121	2390.57	4543	238	0.052	-4.256	4.15405509085468e-08	2.17783261563208e-05	0.3311	0.3861
FBtr0301500	188	140	122	0	0	0	117	207	175	0	0	0	83	166	0	0.001	-10.375	7.25245294167227e-08	3.67956709247166e-05	0.9605	1.0587
FBtr0077645	3723	1636	1690	11	115	75	2308	2416	2420	7	168	90	1234.97	2381	88	0.037	-4.758	2.15796049186555e-07	0.000102849704897156	0.4397	0.3316
FBtr0310450	113	118	135	0	0	0	70	174	193	0	0	0	72.94	146	0	0.001	-10.189	2.54692209656958e-07	0.000117817619808372	1.0363	1.1176
FBtr0074916	649	491	663	55	33	14	402	725	950	37	48	17	363.13	692	34	0.049	-4.347	2.94125962495651e-07	0.000132171803946617	0.3857	0.4383
FBtr0344554	401	61	60	0	0	0	249	90	86	0	0	0	70.77	142	0	0.001	-10.148	3.54041093194564e-07	0.000146535745099055	1.061	1.1276
FBtr0332205	450	326	72	7	0	0	279	481	103	5	0	0	144.7	288	2	0.007	-7.199	5.48157638738518e-07	0.000215535583551985	0.8225	0.787
