Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0089581	0	1	2	3604	1771	2098	0	1	3	2413	2584	2519	1253.41	1	2505	2003.111	10.968	1.58534220387322e-27	1.2467131091259e-23	0.2696	0.3324
FBtr0346714	4	0	0	1583	1008	1204	2	0	0	1060	1471	1446	663.12	1	1326	1013.886	9.986	1.34822511951479e-22	4.24097693594574e-19	0.3021	0.3372
FBtr0340405	0	0	0	1052	418	385	0	0	0	704	610	462	296.09	0	592	4738.972	12.21	1.23744773184921e-16	2.1625086585027e-13	0.4472	0.4964
FBtr0112994	39	0	22	6420	3058	3155	24	0	32	4299	4462	3788	2100.71	19	4183	221.606	7.792	4.44441607521055e-13	5.37705969468551e-10	0.4542	0.3727
FBtr0112879	0	0	0	1047	127	180	0	0	0	701	185	216	183.74	0	367	2943.326	11.523	1.66117763765651e-11	1.74180012567077e-08	0.666	0.6761
FBtr0113323	0	0	0	420	238	246	0	0	0	281	347	295	153.97	0	308	2464.255	11.267	3.4466915339828e-11	3.18879790861656e-08	0.6629	0.7572
FBtr0302863	0	0	0	863	115	199	0	0	0	578	168	239	164.09	0	328	2628.507	11.36	6.95771452829156e-11	6.07949633894276e-08	0.7013	0.7268
FBtr0342806	44	0	23	763	2503	1696	27	0	33	511	3652	2036	1043.24	20	2066	101.306	6.663	9.12843363943327e-10	6.83676210861936e-07	0.5134	0.3259
FBtr0337049	6	0	0	218	301	438	4	0	0	146	439	526	185.79	1	370	216.481	7.758	3.74920122314368e-09	2.26797833990784e-06	0.6423	0.6724
FBtr0342810	502	139	84	5329	2542	2542	311	205	120	3568	3709	3052	1827.66	212	3443	16.177	4.016	1.29000796155621e-08	7.2461590069129e-06	0.2802	0.3594
FBtr0085252	0	0	0	181	169	157	0	0	0	121	247	189	92.71	0	186	1483.643	10.535	4.054139596031e-08	2.17783261563208e-05	0.9335	1.0056
FBtr0087617	99	11	45	1188	777	796	61	16	64	795	1134	956	504.49	47	962	20.151	4.333	9.4089195797021e-08	4.62448397342358e-05	0.3557	0.3696
FBtr0080263	32	9	0	1638	320	226	20	13	0	1097	467	271	311.36	11	612	53.334	5.737	3.1531636641212e-07	0.000134035021917022	0.5899	0.4807
FBtr0081353	16	2	2	745	153	206	10	3	3	499	223	247	164.19	5	323	56.987	5.833	3.11509596152024e-07	0.000134035021917022	0.5921	0.7268
FBtr0100528	0	0	0	66	196	111	0	0	0	44	286	133	77.24	0	154	1235.414	10.271	4.89782768001367e-07	0.000197520599362192	1.1086	1.0921
FBtr0332167	0	0	0	132	90	86	0	0	0	88	131	103	53.83	0	107	861.845	9.751	1.03867192340179e-06	0.000355135478505726	1.08	1.232
FBtr0088136	46	21	36	836	370	476	29	31	52	560	540	572	297.04	37	557	15.059	3.913	1.21358878258884e-06	0.000389537232093005	0.3619	0.4954
FBtr0303385	89	141	204	4477	1630	991	55	208	292	2998	2378	1190	1186.9	185	2189	11.849	3.567	1.76044341745591e-06	0.000542906942544049	0.3257	0.3299
FBtr0342813	49	0	0	439	889	964	30	0	0	294	1297	1157	463.14	10	916	84.633	6.403	2.54118777726228e-06	0.000768611564630406	0.8264	0.3844
FBtr0073426	212	289	240	3085	2000	2605	131	427	344	2066	2918	3128	1502.23	301	2704	9.006	3.171	4.18292553164462e-06	0.0011748045136019	0.2881	0.3434
FBtr0344288	0	0	0	185	30	68	0	0	0	124	44	82	41.55	0	83	666.627	9.381	4.29408058999695e-06	0.00118486490385039	1.1702	1.2958
FBtr0339772	0	0	0	70	51	81	0	0	0	47	74	97	36.42	0	73	583.308	9.188	4.75737108899028e-06	0.0012682022455532	1.1346	1.3179
FBtr0076797	0	0	0	177	47	38	0	0	0	119	69	46	38.79	0	78	622.277	9.281	4.89204783260962e-06	0.00128236880518807	1.1629	1.3079
FBtr0111065	0	0	0	93	82	38	0	0	0	62	120	46	37.92	0	76	607.217	9.246	5.12537361425235e-06	0.00132150616729444	1.16	1.3123
FBtr0113020	0	0	0	51	67	92	0	0	0	34	98	110	40.39	0	81	646.508	9.337	5.36439497371946e-06	0.00133922546264539	1.1899	1.3024
FBtr0342890	0	0	0	74	62	57	0	0	0	50	90	68	34.74	0	69	556.33	9.12	5.63085088332358e-06	0.00138177055359876	1.1402	1.3236
FBtr0347567	148	126	224	1939	1239	1392	92	186	321	1298	1808	1671	896.01	200	1592	7.997	2.999	5.76892260675197e-06	0.00138177055359876	0.2686	0.3248
FBtr0339520	0	0	0	61	134	30	0	0	0	41	196	36	45.4	0	91	726.123	9.504	7.07728275861654e-06	0.00159016433182173	1.2755	1.2794
FBtr0334911	0	0	0	32	97	65	0	0	0	21	142	78	40.17	0	80	642.438	9.327	8.86129395130964e-06	0.00188338420629997	1.2638	1.3038
FBtr0075699	608	147	216	2759	1132	1397	377	217	309	1847	1652	1677	1013.29	301	1725	5.722	2.516	9.82816100152048e-06	0.00203391205568308	0.2073	0.3253
FBtr0308644	0	0	0	58	51	42	0	0	0	39	74	50	27.28	0	54	436.897	8.771	1.03594643548824e-05	0.00211602149835832	1.1341	1.3402
FBtr0342887	0	0	0	146	24	25	0	0	0	98	35	30	27.13	0	54	436.235	8.769	1.60851598969264e-05	0.00320237208682099	1.2042	1.34
FBtr0302977	0	0	0	65	29	35	0	0	0	44	42	42	21.31	0	43	341.985	8.418	1.91258795003134e-05	0.00372928039970501	1.1267	1.3395
FBtr0332202	599	254	175	3314	1065	1463	371	375	251	2219	1554	1757	1087.76	332	1843	5.542	2.47	1.92059837472092e-05	0.00372928039970501	0.2147	0.3269
FBtr0472700	0	0	3	28	220	265	0	0	4	19	321	318	110.37	1	219	155.868	7.284	2.1049567826714e-05	0.00403740978998242	1.133	0.9207
FBtr0336676	0	0	0	56	21	48	0	0	0	37	31	58	20.96	0	42	336.409	8.394	2.28888803242156e-05	0.00433730493661762	1.1493	1.339
FBtr0113380	0	0	0	63	24	35	0	0	0	42	35	42	19.87	0	40	319.074	8.318	2.38707187503041e-05	0.00445743186543715	1.1326	1.337
FBtr0337020	103	0	0	2443	834	672	64	0	0	1636	1217	807	620.55	21	1220	55.484	5.794	2.43248561801362e-05	0.00445743186543715	0.8941	0.343
FBtr0074874	0	0	0	28	50	24	0	0	0	19	73	29	20.09	0	40	321.328	8.328	3.96161239582944e-05	0.00684705931446214	1.2261	1.337
FBtr0290279	0	0	0	26	38	28	0	0	0	17	55	34	17.75	0	35	284.013	8.15	4.38905878802688e-05	0.00740162725344295	1.1861	1.3307
