target_id	S2_DRSC_CG8144_RNAi_1	S2_DRSC_CG8144_RNAi_3	S2_DRSC_CG8144_RNAi_4	S2_DRSC_Untreated_1	S2_DRSC_Untreated_3	S2_DRSC_Untreated_4
FBtr0075502	0	0	0	0	0	0
FBtr0300738	0	0	0	8.70952	0	0
FBtr0300739	0	0	27.9825	0	5.6066	38.9643
FBtr0300737	0	24	0.0175264	24.855	0	0.0357235
FBtr0300736	0	0	0	0	2.54967	0
FBtr0078628	0	0	0	0	5.27353	0
FBtr0300740	0	0	0	9.06903	0	0
FBtr0078627	38.957	0	0	0	11.5702	0
FBtr0300741	0.0430278	0	0	24.3664	0	0
FBtr0072762	238.339	350.45	431.181	294.33	271.569	352.237
FBtr0346821	525.661	42.2117	32.0341	595.91	20.7272	33.3073
FBtr0331460	0	0	0	18.7602	8.93244	0
FBtr0303848	325.572	175.233	161.13	341.853	138.13	120.379
FBtr0086122	12	6	7	23	4	9
FBtr0335147	303.642	0	0	193.226	0	0
FBtr0081459	722.358	439.761	509.537	1056.77	462.011	478.827
FBtr0305321	96.8202	40.0789	58.7624	141.288	25.8681	0
FBtr0083716	1616.18	770.921	818.238	1600.71	757.132	637
FBtr0078184	7	5	7	10	1	3
FBtr0081691	0	0	0	0	0	0
FBtr0085263	1	0.5	0	1.5	0	1
FBtr0086342	0	0	0	0.999998	0	0
FBtr0086343	0	0	0	2.19577e-6	0	0
FBtr0091847	25.2535	3.35946	5.41554	12.9551	5.22022	4.31719
FBtr0072393	186.137	115.143	134.694	1239	626.609	683.551
FBtr0343502	10.8631	0	0	0	0	0
FBtr0343753	198.758	71.9143	93.5649	161.63	71.999	97.6931
FBtr0433525	0	0	0	0	0	0
FBtr0113895	1626.97	149.06	157.969	1528	63.5284	128.152
FBtr0345179	350.027	308.94	287.031	1.90912e-8	311.472	286.848
FBtr0334135	17.0961	0	0	0	0	0
FBtr0334137	21.2059	8.37598	14.5316	41.339	18.533	20.2536
FBtr0334141	0	0	0	0	0	0
FBtr0334139	0	0	0	0	0	0
FBtr0334140	0	0	0	0	0	0
FBtr0344148	0	0	0	0	0	0
FBtr0334142	0	0	0	0	0	0
FBtr0334138	0	0	0	0	0	0
FBtr0334136	137.698	84.624	94.4684	176.661	89.467	107.604
FBtr0085105	119	57	64	53	17	24
FBtr0346720	0	0	0	0	0	0
FBtr0076089	0	0	0	0	0	0
FBtr0087500	255	112	117	273	100	81
FBtr0073094	674.567	74.1404	83.2829	563.745	120.94	71.0758
FBtr0073093	876.433	705.86	893.717	1131.26	753.06	833.924
FBtr0343515	19.2487	0	0	45.3797	0	0
FBtr0072451	169.751	50	69	155.62	69	54
FBtr0071607	78	39	59	94	37	45
FBtr0081516	26	3	6	18	5	3
FBtr0300749	0	6.15351	18.4886	46.4579	23.1007	16.5391
FBtr0346532	80.8197	3.31767	3.28955	54.9574	0	0
FBtr0073076	750.18	340.529	362.222	708.585	335.899	326.461
FBtr0089289	119.153	106.921	12.5312	139.599	13.8806	14.2061
FBtr0100448	213.367	21.2488	15.9692	23.195	64.8035	57.5909
FBtr0089290	404.709	0.00615041	4.1897e-5	272.614	0.381428	0.520428
FBtr0089288	1044.83	303.118	400.797	1272.94	408.191	261.97
FBtr0100447	7.60957	62.4978	95.1917	0	32.5028	41.3774
FBtr0329933	196.277	0.82364	0.00173523	1.09613	70.1424	56.0128
FBtr0336949	59.3853	359.384	500.521	192.756	375.098	376.323
FBtr0088786	421.998	634.561	810.378	901.127	635.076	625.625
FBtr0088785	1816.51	206.439	167.515	1764.72	157.699	184.805
FBtr0303077	1	0	0	0	0	0
FBtr0339716	143.257	0	0	83.8669	0	0
FBtr0085459	389.743	209	266	409.133	167	211
FBtr0070973	12	5	11	7	2	1
