Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.676	0.000000	0.000
FBtr0300738	2350	2172.156	0.182660	2.668
FBtr0300739	2172	1994.156	0.305480	4.097
FBtr0300737	2184	2006.156	0.215859	2.912
FBtr0300736	2338	2160.156	0.245716	3.570
FBtr0078628	2467	2289.156	0.256918	3.955
FBtr0300740	2479	2301.156	0.193535	2.995
FBtr0078627	2301	2123.156	0.317193	4.529
FBtr0300741	2313	2135.156	0.227993	3.274
FBtr0072762	889	711.457	61.065390	292.175
FBtr0346821	1270	1092.156	4.215616	30.963
FBtr0331460	900	722.456	2.117552	10.288
FBtr0303848	5005	4827.156	7.686799	249.538
FBtr0086122	1465	1287.156	0.462093	4.000
FBtr0335147	3125	2947.156	2.862693	56.738
FBtr0081459	3019	2841.156	21.774332	416.044
FBtr0305321	6523	6345.156	1.220892	52.098
FBtr0083716	5665	5487.156	21.188782	781.902
FBtr0078184	1305	1127.156	0.131922	1.000
FBtr0081691	765	587.537	0.000000	0.000
FBtr0085263	1228	1050.156	0.000000	0.000
FBtr0086342	492	314.690	0.000000	0.000
FBtr0086343	495	317.686	0.000000	0.000
FBtr0091847	1023	845.156	1.962239	11.153
FBtr0072393	1393	1215.156	81.764089	668.181
FBtr0343502	867	689.465	0.592139	2.746
FBtr0343753	3569	3391.156	3.165894	72.201
FBtr0433525	3725	3547.156	0.250050	5.965
FBtr0113895	961	783.420	14.494789	76.367
FBtr0345179	887	709.457	66.363716	316.633
FBtr0334135	4703	4525.156	0.327721	9.973
FBtr0334137	4561	4383.156	0.990983	29.211
FBtr0334141	5321	5143.156	0.225541	7.801
FBtr0334139	4203	4025.156	0.523824	14.180
FBtr0334140	5704	5526.156	0.202892	7.540
FBtr0344148	4894	4716.156	0.287230	9.110
FBtr0334142	5071	4893.156	0.257885	8.486
FBtr0334138	5563	5385.156	0.201259	7.289
FBtr0334136	3862	3684.156	1.154553	28.606
FBtr0085105	995	817.386	3.274508	18.000
FBtr0346720	2745	2567.156	0.000000	0.000
FBtr0076089	442	264.732	0.000000	0.000
FBtr0087500	1417	1239.156	12.359815	103.000
FBtr0073094	1694	1516.156	12.956394	132.107
FBtr0073093	1577	1399.156	82.352366	774.893
FBtr0343515	1092	914.156	0.889361	5.468
FBtr0072451	975	797.402	11.847283	63.532
FBtr0071607	2252	2074.156	2.724225	38.000
FBtr0081516	4704	4526.156	0.197116	6.000
FBtr0300749	931	753.445	2.660285	13.480
FBtr0346532	1185	1007.156	0.179958	1.219
FBtr0073076	880	702.459	75.210189	355.301
FBtr0089289	4677	4499.156	1.164590	35.237
FBtr0100448	4590	4412.156	2.708925	80.380
FBtr0089290	4681	4503.156	1.735696	52.564
FBtr0089288	4037	3859.156	12.973530	336.705
FBtr0100447	4417	4239.156	2.116802	60.347
FBtr0329933	4663	4485.156	1.838645	55.459
FBtr0336949	2826	2648.156	21.410743	381.307
FBtr0088786	1378	1200.156	80.390710	648.848
FBtr0088785	1869	1691.156	14.323991	162.910
FBtr0303077	607	429.622	0.000000	0.000
FBtr0339716	615	437.617	0.084196	0.248
FBtr0085459	600	422.624	66.410776	188.752
FBtr0070973	1218	1040.156	0.285912	2.000
FBtr0089252	2767	2589.156	3.018144	52.553
FBtr0334488	2840	2662.156	1.505512	26.954
