Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.86	0	0
FBgn0267873	257	83.986	0	0
FBgn0267896	719	545.7	0.002016	0.008
FBgn0260225	1197	1023.43	0	0
FBgn0040928	1085	911.435	2.99663	21
FBgn0262789	532	358.784	0.362498	1
FBgn0058461	391	217.901	0.820973	1.375
FBgn0042701	620	446.75	0.756832	2.6
FBgn0263493	352	178.927	0.00052	0.001
FBgn0265917	359	185.924	0	0
FBgn0262163	610	436.76	0	0
FBgn0085831	237	64.011	0	0
FBgn0267108	321	147.941	12.839	14.604
FBgn0051032	770	596.682	12.4243	57
FBgn0266102	391	217.901	2.9756	4.985
FBgn0053867	526	352.788	0.020108	0.055
FBgn0267026	323	149.94	0	0
FBgn0267519	2689	2515.43	2391.08	46245.4
FBgn0058005	1227	1053.43	0.196589	1.592
FBgn0039979	803	629.667	8.20265	39.712
FBgn0053318	523	349.79	1.17468	3.159
FBgn0053805	440	266.844	0.851073	1.746
FBgn0267419	780	606.678	0	0
FBgn0267892	760	586.685	0	0
FBgn0267902	582	408.77	0.000275	0.001
FBgn0262964	777	603.679	0.861774	4
FBgn0085790	1041	867.435	0.202592	1.351
FBgn0267879	601	427.767	0.000576	0.002
FBgn0085291	1130	956.435	0.251646	1.851
FBgn0263093	1186.68	1013.11	34.4592	268.425
FBgn0267952	1290	1116.43	0	0
FBgn0030117	636	462.726	0.035284	0.126
FBgn0058182	291	117.957	0	0
FBgn0052518	75	25.759	5.04909	1
FBgn0027934	1345	1171.43	0	0
FBgn0085340	423	249.86	0	0
FBgn0263744	845	671.642	0.193643	1
FBgn0263210	221	48.172	5.25646	1.947
FBtr0346869	123	48.873	18.8951	7.1
FBgn0267427	697	523.708	0	0
FBgn0263975	1131	957.435	2.71681	20
FBgn0267869	420	246.864	0.00065	0.001
FBgn0037560	966.304	792.893	46.7487	285
FBgn0263212	220	47.212	0	0
FBgn0085732	1475.6	1302.04	68.938	690.149
FBgn0267593	610	436.76	0	0
FBgn0058100	394	220.897	7.61531	12.934
FBgn0264888	465	291.83	0	0
FBgn0037143	1446	1272.43	0	0
FBgn0262510	501	327.802	2.1249	5.356
FBgn0263771	276	102.967	0	0
FBgn0053315	421	247.863	0.524721	1
FBgn0050029	480	306.827	0	0
FBgn0085791	1041	867.435	0.165531	1.104
FBgn0085804	252	78.991	0	0
FBgn0267876	766	592.682	0	0
FBgn0267494	656	482.715	0	0
FBgn0085792	1211	1037.43	3.21013	25.606
FBgn0053013	2636	2462.43	0	0
FBgn0266211	1668	1494.43	1.91463	22
FBgn0265141	1303	1129.43	0	0
FBgn0051292	435.522	262.377	0.018921	0.038
FBgn0053294	1991.38	1817.81	1.43094	20
