Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.801	0.000000	0.000
FBtr0300738	2350	2176.435	0.185151	3.098
FBtr0300739	2172	1998.435	0.182345	2.802
FBtr0300737	2184	2010.435	0.228832	3.537
FBtr0300736	2338	2164.435	0.151983	2.529
FBtr0078628	2467	2293.435	0.136263	2.403
FBtr0300740	2479	2305.435	0.163408	2.897
FBtr0078627	2301	2127.435	0.159449	2.608
FBtr0300741	2313	2139.435	0.195433	3.215
FBtr0072762	889	715.625	75.690390	416.473
FBtr0346821	1270	1096.435	5.144221	43.367
FBtr0331460	900	726.623	0.331191	1.850
FBtr0303848	5005	4831.435	9.516492	353.520
FBtr0086122	1465	1291.435	0.604252	6.000
FBtr0335147	3125	2951.435	2.517824	57.137
FBtr0081459	3019	2845.435	19.633289	429.539
FBtr0305321	6523	6349.435	1.436566	70.133
FBtr0083716	5665	5491.435	20.270284	855.867
FBtr0078184	1305	1131.435	0.459801	4.000
FBtr0081691	765	591.682	0.108287	0.493
FBtr0085263	1228	1054.435	0.123344	1.000
FBtr0086342	492	318.808	0.000000	0.000
FBtr0086343	495	321.806	0.000000	0.000
FBtr0091847	1023	849.435	1.021111	6.669
FBtr0072393	1393	1219.435	13.630133	127.797
FBtr0343502	867	693.630	0.882930	4.709
FBtr0343753	3569	3395.435	4.011196	104.720
FBtr0433525	3725	3551.435	0.252812	6.903
FBtr0113895	961	787.599	28.403547	172.004
FBtr0345179	887	713.625	58.683995	321.996
FBtr0334135	4703	4529.435	0.290547	10.119
FBtr0334137	4561	4387.435	0.443032	14.945
FBtr0334141	5321	5147.435	0.206166	8.160
FBtr0334139	4203	4029.435	0.460012	14.252
FBtr0334140	5704	5530.435	0.193876	8.244
FBtr0344148	4894	4720.435	0.264629	9.605
FBtr0334142	5071	4897.435	0.228193	8.593
FBtr0334138	5563	5389.435	0.183407	7.600
FBtr0334136	3862	3688.435	1.251759	35.500
FBtr0085105	995	821.558	11.081520	70.000
FBtr0346720	2745	2571.435	0.000000	0.000
FBtr0076089	442	268.841	0.000000	0.000
FBtr0087500	1417	1243.435	12.865344	123.000
FBtr0073094	1694	1520.435	6.572917	76.840
FBtr0073093	1577	1403.435	72.484097	782.160
FBtr0343515	1092	918.435	0.234675	1.657
FBtr0072451	975	801.586	9.141718	56.343
FBtr0071607	2252	2078.435	2.815888	45.000
FBtr0081516	4704	4530.435	0.114831	4.000
FBtr0300749	931	757.616	0.687332	4.004
FBtr0346532	1185	1011.435	0.580543	4.515
FBtr0073076	880	706.626	67.453019	366.481
FBtr0089289	4677	4503.435	3.363800	116.476
FBtr0100448	4590	4416.435	1.552282	52.711
FBtr0089290	4681	4507.435	1.331573	46.148
FBtr0089288	4037	3863.435	7.711189	229.063
FBtr0100447	4417	4243.435	1.388254	45.295
FBtr0329933	4663	4489.435	1.292312	44.609
FBtr0336949	2826	2652.435	21.560013	439.698
FBtr0088786	1378	1204.435	75.290426	697.242
FBtr0088785	1869	1695.435	19.150109	249.639
FBtr0303077	607	433.762	0.000000	0.000
FBtr0339716	615	441.755	0.079888	0.271
FBtr0085459	600	426.767	79.153217	259.729
FBtr0070973	1218	1044.435	0.622627	5.000
FBtr0089252	2767	2593.435	2.429135	48.438
FBtr0334488	2840	2666.435	1.600548	32.814
FBtr0334489	2902	2728.435	1.625971	34.110
FBtr0100600	3804	3630.435	3.354514	93.637
FBtr0300305	309	135.946	0.000000	0.000
FBtr0077162	567	393.774	0.000000	0.000
