Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	245.751	0	0
FBgn0267873	257	79.886	0	0
FBgn0267896	719	541.556	0.000307	0.001
FBgn0260225	1197	1019.16	0	0
FBgn0040928	1085	907.156	4.26179	26
FBgn0262789	532	354.659	0.838532	2
FBgn0058461	391	213.795	0.000915	0.001
FBgn0042701	620	442.614	0.006932	0.021
FBgn0263493	352	174.82	0.000766	0.001
FBgn0265917	359	181.817	0	0
FBgn0262163	610	432.622	0.687421	2
FBgn0085831	237	60.111	0	0
FBgn0267108	321	143.838	0.000929	0.001
FBgn0051032	770	592.537	13.0494	52
FBgn0266102	391	213.795	0.004177	0.006
FBgn0053867	526	348.664	0.9863	2.313
FBgn0267026	323	145.837	0	0
FBgn0267519	2689	2511.16	3551.36	59974.7
FBgn0058005	1227	1049.16	0.172768	1.219
FBgn0039979	803	625.513	7.01766	29.521
FBgn0053318	523	345.665	0	0
FBgn0053805	440	262.734	0.006366	0.011
FBgn0267419	780	602.531	0	0
FBgn0267892	760	582.54	0	0
FBgn0267902	582	404.634	0	0
FBgn0262964	777	599.533	0.496041	2
FBgn0085790	1041	863.156	0.332612	1.931
FBgn0267879	601	423.624	0	0
FBgn0085291	1130	952.156	0.144166	0.923
FBgn0263093	1195.9	1018.06	24.8894	170.407
FBgn0267952	1290	1112.16	0	0
FBgn0030117	636	458.596	0.088992	0.274
FBgn0058182	291	113.854	0	0
FBgn0052518	75	26.587	5.59277	1
FBgn0027934	1345	1167.16	0	0
FBgn0085340	423	245.751	0	0
FBgn0263744	845	667.483	0	0
FBgn0263210	221	45.582	0	0
FBtr0346869	123	58.462	3.10235	1.22
FBgn0267427	697	519.564	0	0
FBgn0263975	1131	953.156	3.5881	23
FBgn0267869	420	242.756	0.00022	0
FBgn0037560	956.771	779.199	47.8989	251
FBgn0263212	220	44.757	0	0
FBgn0085732	1478.87	1301.03	71.7624	627.889
FBgn0267593	610	432.622	0	0
FBgn0058100	394	216.791	7.59187	11.069
FBgn0264888	465	287.71	1.03365	2
FBgn0037143	1446	1268.16	0.234508	2
FBgn0262510	501	323.682	5.01727	10.922
FBgn0263771	276	98.866	0	0
FBgn0053315	421	243.754	0.610027	1
FBgn0050029	480	302.71	0	0
FBgn0085791	1041	863.156	0.037678	0.219
FBgn0085804	252	74.899	0	0
FBgn0267876	766	588.537	0	0
FBgn0267494	656	478.578	0	0
FBgn0085792	1211	1033.16	1.78442	12.398
FBgn0053013	2636	2458.16	0	0
FBgn0266211	1668	1490.16	1.29722	13
FBgn0265141	1303	1125.16	0	0
FBgn0051292	451.92	274.643	2.78232	5.139
FBgn0053294	1947.99	1770.14	2.85609	34
FBgn0000280	166	25.622	5.80341	1
FBgn0262885	102	43.663	0	0
FBgn0011812	456	278.719	0	0
FBgn0265533	403.316	226.086	0.000516	0.001
FBgn0052496	778	600.533	1.04969	4.239
FBgn0052009	3001.05	2823.21	1.30552	24.787
FBtr0347033	1076	898.156	0	0
FBgn0262688	493	315.689	0.471023	1
FBgn0053222	548.608	371.26	1.53803	3.84
FBgn0266940	581	403.634	0	0
FBgn0262565	802	624.515	0	0
FBgn0263002	361	183.816	0.808942	1
FBgn0084049	531	353.659	15.7656	37.497
FBgn0263211	352	174.82	0.000738	0.001
FBgn0267872	775	597.533	0	0
FBgn0262031	330	152.833	30.5179	31.367
FBgn0267014	274	96.868	6.17997	4.026
FBgn0039987	184	23.597	0	0
FBgn0261640	810	632.508	1.40807	5.989
FBgn0052761	71	24.235	0	0
FBgn0267863	274	96.868	0	0
FBgn0052034	74	25.999	0	0
FBgn0262795	735	557.548	0	0
FBgn0261856	450	272.725	1.09045	2
FBgn0051485	73	25.416	0	0
FBgn0267610	864	686.466	0	0
FBgn0262851	1188	1010.16	12.5546	85.289
FBgn0053416	143	62.256	6.88286	2.882
FBgn0267520	357	179.818	4.23778	5.125
FBgn0085765	30	5.394	0	0
FBgn0267424	659	481.577	0	0
FBgn0030116	1305	1127.16	0.131922	1
FBgn0031135	363	185.815	0	0
FBgn0263213	224	48.126	0	0
FBgn0267878	266	88.875	0	0
FBgn0058441	177	22.463	0	0
FBgn0267864	485	307.693	0	0
FBgn0085500	687	509.569	0	0
FBgn0085784	479	301.7	0.002349	0.005
FBgn0262848	1188	1010.16	5.73333	38.949
FBgn0063924	307	129.845	0.000436	0
FBgn0262616	554	376.649	0	0
FBgn0267891	718	540.556	0.000307	0.001
FBgn0053491	369	191.81	0.002905	0.004
FBgn0050374	600	422.624	0	0
FBtr0347034	740	562.547	0	0
FBgn0267898	414	236.766	0.000207	0
FBgn0260469	924.135	746.583	1.08981	5.472
FBgn0267874	253	75.896	0	0
FBgn0030243	4727.4	4549.56	50.6366	1549.29
FBgn0032269	1867	1689.16	0	0
FBgn0266369	2930	2752.16	18.2078	337
FBgn0032596	774.161	596.695	133.572	536
FBgn0033770	715	537.558	0.276615	1
FBgn0259237	2786	2608.16	0	0
FBgn0013685	525	347.664	1.2831	3
FBgn0031021	768	590.537	83.3454	331
FBgn0033491	3329	3151.16	7.5772	160.575
FBgn0051141	961	783.42	0	0
FBgn0284082	778	600.533	0	0
FBgn0036396	1352	1174.16	7.97839	63
FBgn0036641	893.09	715.53	24.3142	117
FBgn0027594	4503.79	4325.95	211.67	6158
FBgn0261954	7915.46	7737.62	59.3432	3088
FBgn0029987	639	461.593	0.644276	2
FBgn0031660	1138.56	960.718	124.75	806
FBgn0038619	935.928	758.373	16.4701	84
FBgn0001341	3680	3502.16	8.74646	206
FBgn0037541	7058.86	6881.02	30.7836	1424.53
FBgn0016701	1188.07	1010.32	63.2867	430
FBgn0039110	1769.59	1591.74	54.4624	583
FBgn0038839	2837.5	2659.66	0	0
FBgn0264307	3670.05	3492.21	11.5845	272.066
FBgn0263355	3606.81	3428.96	56.1815	1295.55
FBgn0032482	2180.37	2002.53	191.65	2580.99
FBgn0050082	843	665.484	1.11721	5
FBgn0033698	5896	5718.16	20.7254	797
FBgn0032240	530	352.66	133.859	317.471
FBgn0029925	1070	892.156	21.8339	131
FBgn0039017	1757	1579.16	7.4388	79
FBgn0259711	908	730.456	11.1962	55
FBgn0051140	6086.37	5908.53	8.40559	333.999
FBgn0036813	1221	1043.16	52.8841	371
FBgn0004379	2925.86	2748.02	22.7264	420
FBgn0036158	782	604.527	0	0
FBgn0031816	2033.22	1855.38	7.37321	92
FBgn0034923	1677.1	1499.25	24.1008	243
FBgn0039582	1151	973.156	0	0
FBgn0051635	6283.89	6106.05	12.6732	520.408
FBgn0263117	5200.17	5022.32	0.050075	1.692
FBgn0030259	717	539.557	0	0
FBgn0029858	1993.67	1815.82	12.667	154.684
FBgn0260745	2901.71	2723.86	253.518	4644
FBgn0015791	1139.47	961.661	134.987	873
FBgn0051453	1588.42	1410.58	52.6023	499
FBgn0025574	2100.73	1922.89	17.5538	227
FBgn0039637	3175.13	2997.29	106.91	2155
FBgn0023095	4761.79	4583.94	1.91387	59
FBgn0014022	1444	1266.16	16.5589	141
FBgn0035134	1243	1065.16	0.279201	2
FBgn0044826	3680.65	3502.81	76.581	1804
FBgn0030937	1405	1227.16	0	0
FBgn0085213	715	537.558	0	0
FBgn0039875	2420.12	2242.28	69.7633	1052
FBgn0037736	3954.88	3777.04	0.118106	3
FBgn0024732	2153	1975.16	19.4984	259
FBgn0053700	1116	938.156	0	0
FBgn0260747	999.251	821.634	292.277	1615
FBgn0038011	1767	1589.16	0	0
FBgn0066365	2733.69	2555.85	0.058813	1.011
FBgn0039863	5862.02	5684.18	38.3763	1467
FBgn0037721	827.287	649.78	0.915366	4
FBgn0036459	2408	2230.16	0	0
FBgn0038291	1731	1553.16	19.9136	208
FBgn0001114	3261.94	3084.09	1426.27	29582
FBgn0262894	324	146.837	0	0
FBgn0015772	4895.47	4717.62	15.3499	487
FBgn0030873	1723.06	1545.22	89.3016	928
FBgn0086675	6950.02	6772.17	0.261196	11.897
FBgn0038223	4226.07	4048.22	13.5906	370
FBgn0027081	2328.73	2150.89	225.026	3255
FBgn0043458	3240.18	3062.34	62.5944	1289.1
FBgn0262010	471	293.706	1.51883	3
FBgn0259963	337	159.828	0	0
FBgn0010238	2156	1978.16	93.0595	1238
FBgn0034184	3162.72	2984.88	30.687	616
FBgn0000018	1794	1616.16	22.1735	241
FBgn0032809	910	732.456	1.42108	7
FBgn0036605	513	335.673	0.885961	2
FBgn0052280	1126.54	948.697	33.2284	212.001
FBgn0000055	1096.33	918.489	0	0
FBgn0033657	3918	3740.16	0.159027	4
FBgn0035421	1684	1506.16	19.2515	195
FBgn0030666	1611.74	1433.9	1.8279	17.626
FBgn0011202	4208.17	4030.32	41.1373	1115
FBgn0050091	1681	1503.16	0	0
FBgn0033260	3386.79	3208.95	37.4412	808
FBgn0283427	8599.14	8421.29	804.198	45545
FBgn0033740	2224.45	2046.6	17.074	235
FBgn0011725	2792.12	2614.28	32.0044	562.678
FBgn0034377	761	583.539	1.01927	4
FBgn0284248	676.482	499.054	754.724	2533
FBgn0040674	712.5	535.064	0	0
FBgn0036323	1637	1459.16	0	0
FBgn0038260	1973	1795.16	4.05877	49
FBgn0034617	1987	1809.16	10.6848	130
FBgn0262018	7549.5	7371.65	0.040343	2
FBgn0031873	840	662.489	15.936	71
FBgn0032366	866	688.466	0	0
FBgn0035241	4611.75	4433.9	1.40947	42.028
FBgn0260049	2271.12	2093.28	153.01	2154
FBgn0015558	4278.26	4100.42	0.950538	26.212
FBgn0267875	162	29.372	0	0
FBgn0003870	4240.52	4062.68	40.8463	1116
FBgn0053061	1277.9	1100.06	0.135172	1
FBgn0041181	4928	4750.16	0	0
FBgn0039778	933	755.445	0	0
FBgn0014455	1600.35	1422.5	233.393	2232.75
FBgn0030462	936.667	759.101	0	0
FBgn0051832	762	584.539	0	0
FBgn0000259	1612.65	1434.89	120.522	1163.01
FBgn0261581	717.5	540.062	0	0
FBgn0039271	836	658.491	9.71001	43
FBgn0031463	1194	1016.16	0	0
FBgn0014006	4619.26	4441.41	33.1782	991
FBgn0037150	1456	1278.16	14.3094	123
FBgn0030294	1628	1450.16	16.6112	162
FBgn0036039	2150.4	1972.56	14.5446	192.943
FBgn0029676	2023.42	1845.58	63.1849	784.234
FBgn0037475	1444.5	1266.66	0	0
FBgn0052076	1529	1351.16	27.2927	248
FBgn0058354	1400	1222.16	2.76069	22.69
FBgn0033738	3626.46	3448.62	37.6137	872.35
FBgn0064126	1582.2	1404.36	33.686	318.146
FBgn0039115	970	792.411	17.9603	95.711
FBgn0010356	2362	2184.16	20.9004	307
FBgn0051100	2434.9	2257.06	0.131761	2
FBgn0263249	318	140.84	0	0
FBgn0039635	1216.06	1038.31	183.451	1281
FBgn0050010	760.652	583.181	5.60945	22
FBgn0034495	1429	1251.16	17.764	149.469
FBgn0005617	3878.48	3700.63	36.5651	910
FBgn0030703	1444.7	1266.85	125.591	1070
FBgn0036574	4109.76	3931.91	17.1669	453.935
FBgn0038742	1418	1240.16	69.0632	576
FBgn0003162	1638.95	1461.11	5.29202	52
FBgn0046999	672	494.572	0.300657	1
FBgn0037345	831	653.492	15.2453	67
FBgn0037050	1519.85	1342.01	11.9666	108
FBgn0029783	1128.25	950.407	8.13569	52
FBgn0261269	3811.66	3633.82	4.50122	110
FBgn0264270	2352.53	2174.68	46.7042	683.049
FBgn0259822	4738.87	4561.03	0.078912	2.42
FBgn0034035	1562	1384.16	26.9643	251
FBgn0039270	868	690.464	14.4289	67
FBgn0031626	1990	1812.16	0	0
FBgn0051324	1968.93	1791.08	47.2655	569.324
FBgn0260858	1469	1291.16	47.4481	412
FBgn0031874	1710.58	1532.73	6.60572	68.09
FBgn0262719	7923.18	7745.34	0.576741	30.041
FBgn0082831	6728.91	6551.06	32.4128	1428
FBgn0259239	3651.66	3473.82	0.342439	8
FBgn0036146	755	577.542	5.92168	23
FBgn0035073	3322	3144.16	14.0686	297.478
FBgn0020371	789	611.519	0	0
FBgn0032845	1558.28	1380.44	6.46302	60
FBgn0283651	4290.89	4113.04	1.59091	44.007
FBgn0267824	2632	2454.16	55.1366	910
FBgn0069973	897.824	720.273	22.5025	109
FBgn0036301	1709	1531.16	17.3834	179
FBgn0265048	4744	4566.16	214.082	6574
FBgn0261057	237.5	61.2375	0	0
FBgn0052564	1448	1270.16	0.117069	1
FBgn0030797	1165.36	987.741	15.2631	101.387
FBgn0001296	2215.64	2037.79	4.3052	59
FBgn0259972	1093	915.156	0.324964	2
FBgn0053986	871	693.462	0	0
FBgn0032435	2743	2565.16	0.115936	2
FBgn0033905	1169.2	991.358	17.3992	116
FBgn0029539	639.5	462.094	0	0
FBgn0030502	2962.35	2784.5	105.468	1975
FBgn0032554	1230	1052.31	0	0
FBgn0036410	2258.28	2080.44	1.00063	13.999
FBgn0025390	6135.39	5957.54	2.59088	103.804
FBgn0038394	1047	869.156	0.342163	2
FBgn0029715	1083.83	905.99	78.2881	477
FBgn0034911	6361	6183.16	0.192389	8
FBgn0026063	2066	1888.16	0.253359	3.217
FBgn0032375	787.589	610.112	0.24372	1
FBgn0033665	1878	1700.16	12.6818	145
FBgn0085380	3223	3045.16	0	0
FBgn0037493	813	635.506	0	0
FBgn0053701	315	137.841	0	0
FBgn0032189	1259	1081.16	14.5787	106
FBgn0033726	683	505.569	0	0
