target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	335.89	0	0
FBtr0300738	2350	2176.89	0	0
FBtr0300739	2172	1998.89	0	0
FBtr0300737	2184	2010.89	24	1.75875
FBtr0300736	2338	2164.89	0	0
FBtr0078628	2467	2293.89	0	0
FBtr0300740	2479	2305.89	0	0
FBtr0078627	2301	2127.89	0	0
FBtr0300741	2313	2139.89	0	0
FBtr0072762	889	715.89	350.45	72.1377
FBtr0346821	1270	1096.89	42.2117	5.67089
FBtr0331460	900	726.89	0	0
FBtr0303848	5005	4831.89	175.233	5.34418
FBtr0086122	1465	1291.89	6	0.684396
FBtr0335147	3125	2951.89	0	0
FBtr0081459	3019	2845.89	439.761	22.7709
FBtr0305321	6523	6349.89	40.0789	0.930103
FBtr0083716	5665	5491.89	770.921	20.6857
FBtr0078184	1305	1131.89	5	0.65095
FBtr0081691	765	591.89	0	0
FBtr0085263	1228	1054.89	0.5	0.0698465
FBtr0086342	492	318.89	0	0
FBtr0086343	495	321.89	0	0
FBtr0091847	1023	849.89	3.35946	0.58249
FBtr0072393	1393	1219.89	115.143	13.9091
FBtr0343502	867	693.89	0	0
FBtr0343753	3569	3395.89	71.9143	3.12064
FBtr0433525	3725	3551.89	0	0
FBtr0113895	961	787.89	149.06	27.8791
FBtr0345179	887	713.89	308.94	63.7712
FBtr0334135	4703	4529.89	0	0
FBtr0334137	4561	4387.89	8.37598	0.281295
FBtr0334141	5321	5147.89	0	0
FBtr0334139	4203	4029.89	0	0
FBtr0334140	5704	5530.89	0	0
FBtr0344148	4894	4720.89	0	0
FBtr0334142	5071	4897.89	0	0
FBtr0334138	5563	5389.89	0	0
FBtr0334136	3862	3688.89	84.624	3.38049
FBtr0085105	995	821.89	57	10.2198
FBtr0346720	2745	2571.89	0	0
FBtr0076089	442	268.89	0	0
FBtr0087500	1417	1243.89	112	13.2684
FBtr0073094	1694	1520.89	74.1404	7.18354
FBtr0073093	1577	1403.89	705.86	74.0913
FBtr0343515	1092	918.89	0	0
FBtr0072451	975	801.89	50	9.18834
FBtr0071607	2252	2078.89	39	2.76449
FBtr0081516	4704	4530.89	3	0.0975707
FBtr0300749	931	757.89	6.15351	1.19646
FBtr0346532	1185	1011.89	3.31767	0.48315
FBtr0073076	880	706.89	340.529	70.9878
FBtr0089289	4677	4503.89	106.921	3.4983
FBtr0100448	4590	4416.89	21.2488	0.708924
FBtr0089290	4681	4507.89	0.00615041	0.000201054
