target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	331.517	0	0
FBtr0300738	2350	2172.52	0	0
FBtr0300739	2172	1994.52	5.6066	0.438642
FBtr0300737	2184	2006.52	0	0
FBtr0300736	2338	2160.52	2.54967	0.184151
FBtr0078628	2467	2289.52	5.27353	0.359422
FBtr0300740	2479	2301.52	0	0
FBtr0078627	2301	2123.52	11.5702	0.850223
FBtr0300741	2313	2135.52	0	0
FBtr0072762	889	711.517	271.569	59.5583
FBtr0346821	1270	1092.52	20.7272	2.96047
FBtr0331460	900	722.517	8.93244	1.92917
FBtr0303848	5005	4827.52	138.13	4.46492
FBtr0086122	1465	1287.52	4	0.484791
FBtr0335147	3125	2947.52	0	0
FBtr0081459	3019	2841.52	462.011	25.3717
FBtr0305321	6523	6345.52	25.8681	0.636129
FBtr0083716	5665	5487.52	757.132	21.53
FBtr0078184	1305	1127.52	1	0.138396
FBtr0081691	765	587.517	0	0
FBtr0085263	1228	1050.52	0	0
FBtr0086342	492	314.517	0	0
FBtr0086343	495	317.517	0	0
FBtr0091847	1023	845.517	5.22022	0.963418
FBtr0072393	1393	1215.52	626.609	80.4421
FBtr0343502	867	689.517	0	0
FBtr0343753	3569	3391.52	71.999	3.31269
FBtr0433525	3725	3547.52	0	0
FBtr0113895	961	783.517	63.5284	12.6522
FBtr0345179	887	709.517	311.472	68.502
FBtr0334135	4703	4525.52	0	0
FBtr0334137	4561	4383.52	18.533	0.659738
FBtr0334141	5321	5143.52	0	0
FBtr0334139	4203	4025.52	0	0
FBtr0334140	5704	5526.52	0	0
FBtr0344148	4894	4716.52	0	0
FBtr0334142	5071	4893.52	0	0
FBtr0334138	5563	5385.52	0	0
FBtr0334136	3862	3684.52	89.467	3.78905
FBtr0085105	995	817.517	17	3.24489
FBtr0346720	2745	2567.52	0	0
FBtr0076089	442	264.539	0	0
FBtr0087500	1417	1239.52	100	12.5891
FBtr0073094	1694	1516.52	120.94	12.4444
FBtr0073093	1577	1399.52	753.06	83.9651
FBtr0343515	1092	914.517	0	0
FBtr0072451	975	797.517	69	13.5007
FBtr0071607	2252	2074.52	37	2.78312
FBtr0081516	4704	4526.52	5	0.172367
FBtr0300749	931	753.517	23.1007	4.78388
FBtr0346532	1185	1007.52	0	0
FBtr0073076	880	702.517	335.899	74.6105
FBtr0089289	4677	4499.52	13.8806	0.481382
FBtr0100448	4590	4412.52	64.8035	2.29171
FBtr0089290	4681	4503.52	0.381428	0.0132163
FBtr0089288	4037	3859.52	408.191	16.5036
FBtr0100447	4417	4239.52	32.5028	1.19634
FBtr0329933	4663	4485.52	70.1424	2.44015
FBtr0336949	2826	2648.52	375.098	22.0999
FBtr0088786	1378	1200.52	635.076	82.5478
FBtr0088785	1869	1691.52	157.699	14.5479
FBtr0303077	607	429.517	0	0
FBtr0339716	615	437.517	0	0
FBtr0085459	600	422.517	167	61.6766
FBtr0070973	1218	1040.52	2	0.299936
FBtr0089252	2767	2589.52	92.8605	5.59578
FBtr0334488	2840	2662.52	0	0
FBtr0334489	2902	2724.52	20.1816	1.15588
FBtr0100600	3804	3626.52	66.9578	2.88111
FBtr0300305	309	131.567	0	0
FBtr0077162	567	389.517	0	0
FBtr0072277	713	535.517	190	55.3641
FBtr0344898	1082	904.517	0	0
FBtr0086817	1175	997.517	0	0
FBtr0333271	5146	4968.52	23.3564	0.733546
FBtr0072639	5149	4971.52	10.6436	0.334078
FBtr0340000	824	646.517	6.51438	1.57232
FBtr0087390	427	249.539	463.486	289.832
FBtr0070472	3021	2843.52	0.0271812	0.00149163
FBtr0331752	4499	4321.52	825.838	29.8199
FBtr0070475	3174	2996.52	146.962	7.65307
FBtr0070474	3218	3040.52	3.8559	0.197891
FBtr0302185	2166	1988.52	18.9916	1.49032
FBtr0070471	4805	4627.52	263.212	8.87577
FBtr0112828	2903	2725.52	127.032	7.27299
FBtr0301966	3182	3004.52	22.4613	1.16656
FBtr0070468	3055	2877.52	377.445	20.4684
FBtr0070476	2745	2567.52	0	0
FBtr0070470	3110	2932.52	0	0
FBtr0331751	4750	4572.52	8.00435	0.273161
FBtr0070469	4244	4066.52	450.45	17.2851
FBtr0070467	2929	2751.52	0	0
FBtr0331753	5004	4826.52	38.7299	1.25216
FBtr0070466	2847	2669.52	0.97607	0.0570553
FBtr0070473	3091	2913.52	0	0
FBtr0076265	1575	1397.52	524	58.5089
FBtr0331935	1030	852.517	0	0
FBtr0088237	816	638.517	360	87.9788
FBtr0081705	1363	1185.52	0	0
FBtr0088524	1299	1121.52	535	74.4382
FBtr0074540	843	665.517	103	24.1505
FBtr0074494	1357	1179.52	3	0.396885
FBtr0085714	3349	3171.52	2514.95	123.74
FBtr0085713	3440	3262.52	24674.9	1180.19
FBtr0076256	334	156.567	2	1.99332
FBtr0339552	1718	1540.52	108.253	10.9653
FBtr0078950	1533	1355.52	277.747	31.9737
FBtr0070990	1321	1143.52	7.51834	1.02595
FBtr0100409	805	627.517	0	0
FBtr0343330	706	528.517	332.525	98.1778
FBtr0304902	1617	1439.52	1	0.1084
FBtr0304901	2286	2108.52	0	0
FBtr0078872	1228	1050.52	0	0
FBtr0077839	2112	1934.52	132.137	10.6586
FBtr0077837	2331	2153.52	18.7749	1.36043
FBtr0077838	2235	2057.52	110.016	8.34375
FBtr0077836	2325	2147.52	237.072	17.2263
FBtr0075133	4018	3840.52	8.40376	0.341454
FBtr0332862	2190	2012.52	99.5962	7.72238
FBtr0087988	1754	1576.52	1759.24	174.131
FBtr0087987	1948	1770.52	3878.71	341.85
FBtr0074688	1633	1455.52	467	50.0665
FBtr0086864	3503	3325.52	268	12.5754
FBtr0083361	1283	1105.52	0	0
FBtr0392904	4164	3986.52	179.814	7.03847
FBtr0084588	2385	2207.52	960.822	67.9183
FBtr0303161	2639	2461.52	613.226	38.8745
FBtr0079257	1918	1740.52	219	19.6342
FBtr0307341	906	728.517	0	0
FBtr0084989	527	349.517	1.82638	0.815402
FBtr0306309	750	572.517	1	0.272558
FBtr0344570	539	361.517	0	0
FBtr0078090	1219	1041.52	251	37.6058
FBtr0087439	546	368.517	51	21.5954
FBtr0070960	2096	1918.52	6	0.488015
FBtr0302357	2296	2118.52	0	0
FBtr0302356	2428	2250.52	0	0
FBtr0340571	3830	3652.52	0	0
FBtr0340572	3825	3647.52	0	0
FBtr0080267	3305	3127.52	0	0
FBtr0077141	787	609.517	0	0
FBtr0306593	981	803.517	0	0
FBtr0081719	1938	1760.52	764	67.7175
FBtr0071549	1655	1477.52	289	30.522
FBtr0308832	1068	890.517	52.6623	9.22795
FBtr0308833	2043	1865.52	402.021	33.6277
FBtr0074921	2263	2085.52	85.3166	6.38363
FBtr0073011	1996	1818.52	2	0.171617
FBtr0112378	450	272.517	0	0
FBtr0342602	1596	1418.52	0	0
FBtr0080326	1217	1039.52	544	81.6611
FBtr0085405	675	497.517	603	189.129
FBtr0339295	331	153.567	0	0
FBtr0300316	205	33.3594	0	0
FBtr0300904	2130	1952.52	0	0
FBtr0081633	2196	2018.52	0	0
FBtr0300905	2052	1874.52	0	0
FBtr0335279	1234	1056.52	0	0
FBtr0335281	1199	1021.52	2	0.305515
FBtr0290216	733	555.517	0	0
FBtr0335280	740	562.517	0	0
FBtr0077120	1711	1533.52	195.362	19.8792
FBtr0081676	887	709.517	0	0
FBtr0076639	2093	1915.52	1	0.0814633
FBtr0079280	1148	970.517	0	0
FBtr0304827	5797	5619.52	0	0
FBtr0433494	6405	6227.52	0.00010286	2.57739e-06
FBtr0333832	6581	6403.52	6.1672	0.150286
FBtr0433497	5654	5476.52	0	0
FBtr0333833	6118	5940.52	18.3895	0.483052
FBtr0433496	5848	5670.52	0	0
FBtr0304826	8410	8232.52	0	0
FBtr0433495	8302	8124.52	0.000845264	1.62346e-05
FBtr0433493	8251	8073.52	3.07387	0.0594115
FBtr0300808	2019	1841.52	0	0
FBtr0300809	4061	3883.52	0	0
FBtr0301700	4064	3886.52	0	0
FBtr0072287	5108	4930.52	927	29.3383
FBtr0343633	2816	2638.52	135.439	8.00996
FBtr0074281	2640	2462.52	1186.84	75.2074
FBtr0343632	2730	2552.52	69.4137	4.2435
FBtr0074279	3898	3720.52	974.072	40.8541
FBtr0074280	3895	3717.52	54.2371	2.27663
FBtr0072238	1035	857.517	0	0
FBtr0308073	1317	1139.52	13.1279	1.79773
