Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.668	0.000000	0.000
FBtr0300738	2350	2168.274	0.160011	3.064
FBtr0300739	2172	1990.274	0.267182	4.696
FBtr0300737	2184	2002.274	0.248169	4.388
FBtr0300736	2338	2156.274	0.168830	3.215
FBtr0078628	2467	2285.274	0.146518	2.957
FBtr0300740	2479	2297.274	0.139676	2.834
FBtr0078627	2301	2119.274	0.215842	4.040
FBtr0300741	2313	2131.274	0.203019	3.821
FBtr0072762	889	707.479	71.320618	445.621
FBtr0346821	1270	1088.274	4.047148	38.898
FBtr0331460	900	718.475	2.478405	15.726
FBtr0303848	5005	4823.274	8.304493	353.747
FBtr0086122	1465	1283.274	0.617649	7.000
FBtr0335147	3125	2943.274	2.213696	57.542
FBtr0081459	3019	2837.274	18.905340	473.721
FBtr0305321	6523	6341.274	1.273347	71.312
FBtr0083716	5665	5483.274	18.021124	872.688
FBtr0078184	1305	1123.274	0.604823	6.000
FBtr0081691	765	583.561	0.000000	0.000
FBtr0085263	1228	1046.274	0.000000	0.000
FBtr0086342	492	310.679	0.000000	0.000
FBtr0086343	495	313.677	0.000000	0.000
FBtr0091847	1023	841.274	1.424792	10.586
FBtr0072393	1393	1211.274	13.586038	145.336
FBtr0343502	867	685.491	0.770448	4.664
FBtr0343753	3569	3387.274	4.058088	121.397
FBtr0433525	3725	3543.274	0.164668	5.153
FBtr0113895	961	779.438	24.709880	170.094
FBtr0345179	887	705.479	46.530243	289.906
FBtr0334135	4703	4521.274	0.280140	11.186
FBtr0334137	4561	4379.274	0.444949	17.209
FBtr0334141	5321	5139.274	0.200372	9.094
FBtr0334139	4203	4021.274	0.500832	17.787
FBtr0334140	5704	5522.274	0.165393	8.066
FBtr0344148	4894	4712.274	0.263099	10.949
FBtr0334142	5071	4889.274	0.216239	9.337
FBtr0334138	5563	5381.274	0.176718	8.399
FBtr0334136	3862	3680.274	1.014471	32.973
FBtr0085105	995	813.404	9.465969	68.000
FBtr0346720	2745	2563.274	0.000000	0.000
FBtr0076089	442	260.719	0.000000	0.000
FBtr0087500	1417	1235.274	11.458017	125.000
FBtr0073094	1694	1512.274	6.595341	88.086
FBtr0073093	1577	1395.274	76.682401	944.914
FBtr0343515	1092	910.274	0.180710	1.453
FBtr0072451	975	793.420	10.210628	71.547
FBtr0071607	2252	2070.274	3.336297	61.000
FBtr0081516	4704	4522.274	0.150230	6.000
FBtr0300749	931	749.469	1.877955	12.430
FBtr0346532	1185	1003.274	0.502857	4.456
FBtr0073076	880	698.481	62.268491	384.114
FBtr0089289	4677	4495.274	0.846578	33.609
FBtr0100448	4590	4408.274	1.160680	45.188
FBtr0089290	4681	4499.274	1.094966	43.509
FBtr0089288	4037	3855.274	9.808800	333.971
FBtr0100447	4417	4235.274	1.511400	56.533
FBtr0329933	4663	4481.274	1.149002	45.474
FBtr0336949	2826	2644.274	22.554522	526.717
FBtr0088786	1378	1196.274	82.014241	866.477
FBtr0088785	1869	1687.274	11.648512	173.577
FBtr0303077	607	425.637	0.000000	0.000
FBtr0339716	615	433.631	0.057900	0.222
FBtr0085459	600	418.639	82.704584	305.778
FBtr0070973	1218	1036.274	1.201935	11.000
FBtr0089252	2767	2585.274	2.363852	53.971
FBtr0334488	2840	2658.274	2.150082	50.477
FBtr0334489	2902	2720.274	0.814818	19.575
FBtr0100600	3804	3622.274	3.274351	104.748
FBtr0300305	309	127.822	0.000000	0.000
FBtr0077162	567	385.645	0.000000	0.000
FBtr0072277	713	531.585	55.594299	261.000
FBtr0344898	1082	900.274	0.000000	0.000
FBtr0086817	1175	993.274	0.000000	0.000
FBtr0333271	5146	4964.274	0.644830	28.271
FBtr0072639	5149	4967.274	0.586504	25.729
FBtr0340000	824	642.533	1.158334	6.573
FBtr0087390	427	245.735	101.108135	219.427
FBtr0070472	3021	2839.274	2.842708	71.282
FBtr0331752	4499	4317.274	14.963554	570.534
