Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.421	0.000000	0.000
FBtr0300738	2350	2179.002	0.260926	4.756
FBtr0300739	2172	2001.002	0.409154	6.849
FBtr0300737	2184	2013.002	0.358987	6.045
FBtr0300736	2338	2167.002	0.287436	5.210
FBtr0078628	2467	2296.002	0.234787	4.509
FBtr0300740	2479	2308.002	0.216322	4.177
FBtr0078627	2301	2130.002	0.307532	5.480
FBtr0300741	2313	2142.002	0.277594	4.974
FBtr0072762	889	718.226	68.418624	411.067
FBtr0346821	1270	1099.002	3.791997	34.861
FBtr0331460	900	729.224	0.293032	1.788
FBtr0303848	5005	4834.002	5.048082	204.132
FBtr0086122	1465	1294.002	0.831438	9.000
FBtr0335147	3125	2954.002	2.337209	57.754
FBtr0081459	3019	2848.002	19.326633	460.441
FBtr0305321	6523	6352.002	0.474522	25.214
FBtr0083716	5665	5494.002	14.965351	687.786
FBtr0078184	1305	1134.002	0.316249	3.000
FBtr0081691	765	594.302	0.000000	0.000
FBtr0085263	1228	1057.002	0.339287	3.000
FBtr0086342	492	321.435	0.000000	0.000
FBtr0086343	495	324.431	0.000000	0.000
FBtr0091847	1023	852.002	1.342764	9.570
FBtr0072393	1393	1222.002	76.711622	784.171
FBtr0343502	867	696.231	0.443178	2.581
FBtr0343753	3569	3398.002	3.734414	106.151
FBtr0433525	3725	3554.002	0.254307	7.561
FBtr0113895	961	790.199	22.884190	151.269
FBtr0345179	887	716.226	49.192488	294.731
FBtr0334135	4703	4532.002	0.322392	12.222
FBtr0334137	4561	4390.002	0.751758	27.607
FBtr0334141	5321	5150.002	0.211167	9.097
FBtr0334139	4203	4032.002	0.571421	19.273
FBtr0334140	5704	5533.002	0.174405	8.072
FBtr0344148	4894	4723.002	0.276978	10.943
FBtr0334142	5071	4900.002	0.245181	10.050
FBtr0334138	5563	5392.002	0.186312	8.404
FBtr0334136	3862	3691.002	1.241456	38.331
FBtr0085105	995	824.155	4.206413	29.000
FBtr0346720	2745	2574.002	0.000000	0.000
FBtr0076089	442	271.457	0.000000	0.000
FBtr0087500	1417	1246.002	8.730619	91.000
FBtr0073094	1694	1523.002	5.936161	75.628
FBtr0073093	1577	1406.002	75.447021	887.372
FBtr0343515	1092	921.002	0.240859	1.856
FBtr0072451	975	804.173	8.643312	58.144
FBtr0071607	2252	2081.002	2.929680	51.000
FBtr0081516	4704	4533.002	0.105486	4.000
FBtr0300749	931	760.223	2.529362	16.085
FBtr0346532	1185	1014.002	0.146857	1.246
FBtr0073076	880	709.228	59.949095	355.669
FBtr0089289	4677	4506.002	1.161263	43.772
FBtr0100448	4590	4419.002	1.814382	67.070
FBtr0089290	4681	4510.002	1.155610	43.598
FBtr0089288	4037	3866.002	7.599478	245.767
FBtr0100447	4417	4246.002	1.456510	51.733
FBtr0329933	4663	4492.002	1.212463	45.560
FBtr0336949	2826	2655.002	18.257430	405.492
FBtr0088786	1378	1207.002	68.625300	692.899
FBtr0088785	1869	1698.002	14.740607	209.378
FBtr0303077	607	436.380	0.000000	0.000
FBtr0339716	615	444.375	0.064151	0.238
FBtr0085459	600	429.381	69.813632	250.762
FBtr0070973	1218	1047.002	0.228352	2.000
FBtr0089252	2767	2596.002	1.083986	23.540
FBtr0334488	2840	2669.002	1.379750	30.805
FBtr0334489	2902	2731.002	1.014649	23.180
FBtr0100600	3804	3633.002	3.766740	114.475
FBtr0300305	309	138.550	0.000000	0.000
FBtr0077162	567	396.389	0.000000	0.000
FBtr0072277	713	542.324	48.493810	220.000
FBtr0344898	1082	911.002	0.000000	0.000
FBtr0086817	1175	1004.002	0.000000	0.000
FBtr0333271	5146	4975.002	0.368739	15.346
FBtr0072639	5149	4978.002	0.372406	15.508
FBtr0340000	824	653.268	0.622132	3.400
FBtr0087390	427	256.468	282.743407	606.600
FBtr0070472	3021	2850.002	2.201333	52.482
FBtr0331752	4499	4328.002	16.189588	586.139
FBtr0070475	3174	3003.002	6.086016	152.885
FBtr0070474	3218	3047.002	1.173337	29.907
FBtr0302185	2166	1995.002	0.398223	6.646
FBtr0070471	4805	4634.002	8.357157	323.961
FBtr0112828	2903	2732.002	5.694068	130.131
FBtr0301966	3182	3011.002	0.695714	17.523
FBtr0070468	3055	2884.002	9.326348	225.001
FBtr0070476	2745	2574.002	0.566557	12.199
FBtr0070470	3110	2939.002	1.282055	31.520
FBtr0331751	4750	4579.002	0.898437	34.414
FBtr0070469	4244	4073.002	9.150287	311.765
FBtr0070467	2929	2758.002	0.458160	10.570
FBtr0331753	5004	4833.002	0.534822	21.622
FBtr0070466	2847	2676.002	4.014789	89.872
FBtr0070473	3091	2920.002	1.449828	35.414
FBtr0076265	1575	1404.002	49.042925	575.999
FBtr0331935	1030	859.002	0.161432	1.160
FBtr0088237	816	645.274	92.599634	499.840
FBtr0081705	1363	1192.002	0.000000	0.000
FBtr0088524	1299	1128.002	69.097144	652.000
FBtr0074540	843	672.255	19.382742	109.000
FBtr0074494	1357	1186.002	0.302384	3.000
FBtr0085714	3349	3178.002	129.800049	3450.695
FBtr0085713	3440	3269.002	1016.250131	27790.305
FBtr0076256	334	163.539	2.923889	4.000
FBtr0339552	1718	1547.002	11.308525	146.344
FBtr0078950	1533	1362.002	23.228795	264.656
FBtr0070990	1321	1150.002	0.751874	7.233
FBtr0100409	805	634.284	0.725155	3.848
FBtr0343330	706	535.331	105.614624	472.960
FBtr0304902	1617	1446.002	0.041611	0.503
FBtr0304901	2286	2115.002	0.028072	0.497
FBtr0078872	1228	1057.002	0.113096	1.000
FBtr0077839	2112	1941.002	4.011709	65.138
FBtr0077837	2331	2160.002	6.298423	113.806
FBtr0077838	2235	2064.002	6.451395	111.389
FBtr0077836	2325	2154.002	15.687468	282.668
