Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.471	0	0
FBgn0267873	257	86.584	0	0
FBgn0267896	719	548.321	0.001091	0.005
FBgn0260225	1197	1026	0.057911	0.497
FBgn0040928	1085	914.002	2.74659	21
FBgn0262789	532	361.401	0	0
FBgn0058461	391	220.506	1.18571	2.187
FBgn0042701	620	449.372	1.69698	6.379
FBgn0263493	352	181.532	0.00028	0
FBgn0265917	359	188.53	0	0
FBgn0262163	610	439.38	0	0
FBgn0085831	237	66.597	0	0
FBgn0267108	321	150.546	4.31703	5.437
FBgn0051032	770	599.297	8.77673	44
FBgn0266102	391	220.506	0.005055	0.009
FBgn0053867	526	355.407	0.819827	2.437
FBgn0267026	323	152.545	0	0
FBgn0267519	2689	2518	2112.24	44491.6
FBgn0058005	1227	1056	0.536612	4.74
FBgn0039979	803	632.285	6.99162	36.98
FBgn0053318	523	352.41	0.678429	2
FBgn0053805	440	269.459	0.006565	0.015
FBgn0267419	780	609.294	0	0
FBgn0267892	760	589.303	0.000275	0.001
FBgn0267902	582	411.386	0.000228	0.001
FBgn0262964	777	606.295	0.197169	1
FBgn0085790	1041	870.002	0.151378	1.102
FBgn0267879	601	430.381	0.000236	0.001
FBgn0085291	1130	959.002	0.10232	0.821
FBgn0263093	1190.95	1019.95	16.9375	144.513
FBgn0267952	1290	1119	0.10683	1
FBgn0030117	636	465.353	0.046055	0.179
FBgn0058182	291	120.559	1.02283	1.032
FBgn0052518	75	25.553	0	0
FBgn0027934	1345	1174	0	0
FBgn0085340	423	252.471	0	0
FBgn0263744	845	674.253	0.177296	1
FBgn0263210	221	50.631	3.60137	1.525
FBtr0346869	123	47.778	24.8939	9.95
FBgn0267427	697	526.334	0	0
FBgn0263975	1131	960.002	2.49046	20
FBgn0267869	420	249.475	0.000494	0.001
FBgn0037560	962.891	792.083	49.2005	326
FBgn0263212	220	49.637	0	0
FBgn0085732	1466.78	1295.78	57.1789	619.793
FBgn0267593	610	439.38	0	0
FBgn0058100	394	223.503	4.30314	8.045
FBgn0264888	465	294.447	0.405991	1
FBgn0037143	1446	1275	0	0
FBgn0262510	501	330.428	2.67696	7.399
FBgn0263771	276	105.573	0	0
FBgn0053315	421	250.473	0	0
FBgn0050029	480	309.44	0	0
FBgn0085791	1041	870.002	0.133217	0.97
FBgn0085804	252	81.587	0	0
FBgn0267876	766	595.301	0.000276	0.001
FBgn0267494	656	485.342	0	0
FBgn0085792	1211	1040	1.92188	16.72
FBgn0053013	2636	2465	0	0
FBgn0266211	1668	1497	0.958255	12
FBgn0265141	1303	1132	0	0
FBgn0051292	441.497	270.96	0.020032	0.046
FBgn0053294	1972.67	1801.67	2.32228	35
FBgn0000280	166	11.947	0	0
FBgn0262885	102	38.928	0	0
FBgn0011812	456	285.451	0	0
FBgn0265533	402.055	231.544	0.00042	0.001
FBgn0052496	778	607.295	2.00619	10.192
FBgn0052009	2998.77	2827.77	0.510191	12.068
FBtr0347033	1076	905.002	0	0
FBgn0262688	493	322.434	0.370751	1
FBgn0053222	541.117	370.514	2.16968	6.724
FBgn0266940	581	410.386	0	0
FBgn0262565	802	631.285	0	0
FBgn0263002	361	190.528	0	0
